island,region_order,sheet,plant_range,plant_id,corolla_id,cx,cy,corolla_len_mm,corolla_width_mm,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude
Niijima,3,niijima2~4,2-4,,6,356,2306,26.84,23.03,441.7,57.58,13.04,95,21.51,0.978,1,0.033,0,6.41,20.38,4,0.938,1.17,
Niijima,3,niijima2~4,2-4,,7,794,2329,27.6,24.64,463.9,43.66,9.41,137,29.53,0.982,1,0.056,0,13.85,16.48,3,0.926,1.01,
Oshima,1,oshima1(2),1,,1,896,769,41.83,31.41,924.2,117.21,12.68,85,9.2,0.85,1,0.028,0,8.87,35.8,4,0.915,1.32,
Oshima,1,oshima1(2),1,,2,1795,885,41.49,33.1,961.2,58.16,6.05,36,3.75,0.607,1,0.008,0,17.57,35.55,3,0.859,1.26,
Oshima,1,oshima1(2),1,,3,1766,1629,49.36,41.57,1238.3,488.26,39.43,110,8.88,0.808,1,0.001,0,10.62,35.42,4,0.803,1.15,
Oshima,1,oshima1(2),1,,4,1040,2589,36.32,29.13,708.4,14.37,2.03,36,5.08,0.313,1,0.003,0,7.03,31.08,4,0.823,1.17,
Oshima,1,oshima1(2),1,,5,1591,2607,38.44,30.23,791.1,21.43,2.71,33,4.17,0.85,1,0.118,1,7.14,32.53,4,0.884,1.25,
Oshima,1,oshima1,1,,1,875,1427,45.55,32.94,1037.7,232.6,22.42,63,6.07,0.78,1,0.0,0,18.22,38.3,3,0.843,1.38,
Oshima,1,oshima1,1,,2,1794,1457,46.91,35.98,1203.3,171.71,14.27,62,5.15,0.989,1,0.0,0,10.54,42.24,6,0.912,1.29,
Oshima,1,oshima1,1,,3,1034,2288,55.37,33.36,1261.2,179.63,14.24,79,6.26,0.781,1,0.005,0,19.46,48.03,3,0.914,1.56,
Oshima,1,oshima1,1,,4,1801,2340,56.39,33.36,1297.2,217.24,16.75,38,2.93,0.692,1,0.0,0,9.89,49.51,4,0.799,1.61,
Oshima,1,oshima10~13,10-13,,1,1416,546,40.3,28.96,776.9,331.08,42.62,118,15.19,0.981,1,0.028,0,8.73,23.53,6,0.86,1.39,
Oshima,1,oshima10~13,10-13,,2,1941,554,34.29,21.34,501.9,368.55,73.43,21,4.18,0.998,1,0.007,0,9.06,30.28,3,0.946,1.54,
Oshima,1,oshima10~13,10-13,,3,2470,576,40.89,25.32,814.3,552.35,67.83,32,3.93,0.944,1,0.004,0,7.09,34.0,5,0.933,1.59,
Oshima,1,oshima10~13,10-13,,4,1292,954,41.83,29.55,783.3,325.34,41.53,109,13.91,0.874,1,0.0,0,18.65,16.02,3,0.795,1.41,
Oshima,1,oshima10~13,10-13,,5,1781,991,30.82,26.59,590.3,334.31,56.64,59,10.0,0.997,1,0.026,0,7.9,21.18,4,0.861,1.16,
Oshima,1,oshima10~13,10-13,,6,2376,982,45.55,31.16,911.0,523.68,57.48,84,9.22,0.926,1,0.004,0,8.3,34.02,4,0.821,1.39,
Oshima,1,oshima10~13,10-13,,7,655,1061,39.2,28.02,847.2,180.71,21.33,249,29.39,0.942,1,0.001,0,6.87,27.75,9,0.894,1.38,
Oshima,1,oshima10~13,10-13,,8,2927,1179,84.84,41.74,1698.0,107.67,6.34,205,12.07,0.962,1,0.034,0,0.08,51.74,8,0.537,1.93,
Oshima,1,oshima10~13,10-13,,9,619,1481,45.38,30.48,882.6,292.58,33.15,179,20.28,0.921,1,0.002,0,7.84,34.97,5,0.783,1.43,
Oshima,1,oshima10~13,10-13,,10,1203,1524,36.49,27.18,772.8,452.17,58.51,69,8.93,0.963,1,0.002,0,7.57,31.78,5,0.941,1.33,
Oshima,1,oshima10~13,10-13,,11,1701,1553,23.2,19.9,369.8,173.5,46.92,69,18.66,0.989,1,0.004,0,5.74,12.96,5,0.917,1.12,
Oshima,1,oshima10~13,10-13,,12,2330,1530,41.23,23.45,662.0,238.75,36.06,83,12.54,0.992,1,0.018,0,9.0,33.4,3,0.894,1.72,
Oshima,1,oshima10~13,10-13,,13,2864,1973,35.73,23.71,625.7,15.68,2.51,55,8.79,0.831,1,0.087,0,6.74,24.32,5,0.889,1.48,
Oshima,1,oshima10~13,10-13,,14,652,2001,36.07,27.69,616.7,224.16,36.35,104,16.86,0.953,1,0.001,0,8.41,28.11,5,0.764,1.24,
Oshima,1,oshima10~13,10-13,,15,1169,2002,39.71,30.56,869.3,470.0,54.06,98,11.27,0.925,1,0.003,0,8.92,20.01,5,0.819,1.3,
Oshima,1,oshima10~13,10-13,,16,1671,2059,27.26,25.15,407.6,273.5,67.11,20,4.91,0.928,1,0.001,0,12.34,15.41,2,0.832,1.07,
Oshima,1,oshima10~13,10-13,,17,2331,2067,34.12,22.27,574.1,302.79,52.74,89,15.5,0.958,1,0.0,0,6.74,27.68,7,0.935,1.49,
Oshima,1,oshima13~15,13-15,,1,463,496,43.1,30.06,1025.9,98.57,9.61,230,22.42,0.972,1,0.072,0,15.47,38.92,3,0.961,1.42,
Oshima,1,oshima13~15,13-15,,2,958,466,45.89,31.5,1087.1,50.75,4.67,167,15.36,0.976,1,0.234,1,19.03,38.2,3,0.933,1.41,
Oshima,1,oshima13~15,13-15,,3,1434,504,55.46,37.34,1254.2,78.34,6.25,200,15.95,0.988,1,0.108,1,10.05,34.27,4,0.726,1.5,
Oshima,1,oshima13~15,13-15,,4,2064,516,49.02,28.7,1070.6,43.27,4.04,164,15.32,0.929,1,0.044,0,13.96,42.02,3,0.93,1.62,
Oshima,1,oshima13~15,13-15,,5,1348,1173,43.01,31.33,1057.3,392.36,37.11,256,24.21,0.99,1,0.035,0,9.16,37.76,5,0.929,1.38,
Oshima,1,oshima13~15,13-15,,6,1970,1198,51.48,31.41,1062.4,378.25,35.6,164,15.44,0.837,1,0.016,0,7.73,39.8,5,0.711,1.1,
Oshima,1,oshima13~15,13-15,,7,815,1797,38.61,29.13,820.4,246.36,30.03,254,30.96,0.996,1,0.171,1,8.3,29.86,4,0.913,1.31,
Oshima,1,oshima13~15,13-15,,8,1335,1839,45.21,31.16,1024.8,356.73,34.81,194,18.93,0.923,1,0.129,1,19.46,24.33,3,0.931,1.47,
Oshima,1,oshima13~15,13-15,,9,2032,1899,37.85,28.62,864.0,437.78,50.67,146,16.9,0.975,1,0.008,0,16.71,22.59,3,0.964,1.32,
Oshima,1,oshima13~15,13-15,,10,615,2475,37.08,25.15,696.1,74.64,10.72,148,21.26,0.908,1,0.02,0,5.23,31.99,7,0.936,1.36,
Oshima,1,oshima13~15,13-15,,11,1034,2508,41.91,36.07,1066.5,22.95,2.15,147,13.78,0.832,1,0.28,1,8.46,30.47,5,0.871,1.11,
Oshima,1,oshima13~15,13-15,,12,1626,2488,33.1,29.46,660.5,71.66,10.85,144,21.8,0.951,1,0.017,0,9.3,22.88,7,0.873,1.1,
Oshima,1,oshima13~15,13-15,,13,2010,2448,38.1,32.34,735.8,8.07,1.1,72,9.79,0.987,1,0.4,1,13.37,28.5,3,0.837,1.0,
Oshima,1,oshima4,4,,1,717,376,33.36,30.82,761.5,69.07,9.07,134,17.6,0.911,1,0.112,1,7.65,29.62,5,0.884,1.06,
Oshima,1,oshima4,4,,2,1647,773,42.08,30.82,925.8,540.67,58.4,126,13.61,0.891,1,0.018,0,14.28,29.86,1,0.956,1.29,
Oshima,1,oshima4,4,,3,658,802,40.13,31.58,775.5,112.65,14.53,171,22.05,0.915,1,0.019,0,20.05,15.55,2,0.872,1.05,
Oshima,1,oshima4,4,,4,660,1343,36.07,26.67,689.9,204.8,29.69,158,22.9,0.976,1,0.019,0,7.28,24.05,4,0.908,1.31,
Oshima,1,oshima4,4,,5,1052,1334,22.69,10.08,92.7,3.5,3.78,8,8.63,0.498,1,0.071,0,2.8,7.0,4,0.518,2.03,
Oshima,1,oshima4,4,,6,1663,1323,41.4,34.21,1059.9,635.88,59.99,98,9.25,0.992,1,0.024,0,9.03,36.53,6,0.952,1.14,
Oshima,1,oshima4,4,,7,837,1964,34.46,27.6,736.8,307.51,41.74,197,26.74,0.99,1,0.027,0,16.39,24.12,3,0.914,1.23,
Oshima,1,oshima4,4,,8,1683,1925,44.79,35.73,1106.0,79.23,7.16,189,17.09,0.956,1,0.37,1,10.11,38.75,5,0.916,1.25,
Oshima,1,oshima4,4,,9,877,2562,36.75,32.0,753.5,160.89,21.35,187,24.82,0.982,1,0.375,1,8.03,30.2,5,0.908,1.14,
Oshima,1,oshima4,4,,10,1752,2571,46.57,34.88,1147.4,101.7,8.86,203,17.69,0.971,1,0.165,1,9.92,36.76,5,0.904,1.31,
Oshima,1,oshima5,5,,1,924,776,37.51,28.45,759.0,20.86,2.75,71,9.35,0.695,1,0.007,0,5.58,32.44,6,0.929,1.13,
Oshima,1,oshima5,5,,2,1641,813,33.87,26.92,764.3,20.18,2.64,85,11.12,0.91,1,0.014,0,8.17,26.26,4,0.917,1.24,
Oshima,1,oshima5,5,,3,1601,1545,32.34,22.1,557.9,42.95,7.7,149,26.71,0.955,1,0.097,0,6.9,24.2,6,0.97,1.46,
Oshima,1,oshima5,5,,4,936,2258,31.92,27.18,654.9,22.69,3.46,67,10.23,0.574,1,0.079,0,8.65,14.69,5,0.909,1.12,
Oshima,1,oshima5,5,,5,1673,2257,34.88,26.08,661.2,18.19,2.75,60,9.07,0.827,1,0.004,0,7.57,30.16,4,0.892,1.33,
Oshima,1,oshima6,6,,1,1072,1234,34.21,23.88,553.4,108.49,19.6,79,14.27,0.883,1,0.002,0,10.78,29.69,3,0.899,1.39,
Oshima,1,oshima6,6,,2,1769,1230,35.48,24.81,628.5,42.92,6.83,55,8.75,0.876,1,0.035,0,5.77,31.13,5,0.837,1.39,
Oshima,1,oshima6,6,,3,2479,1218,32.34,24.81,556.0,32.01,5.76,40,7.19,0.672,1,0.033,0,7.22,27.39,6,0.859,1.3,
Oshima,1,oshima6,6,,4,1116,1843,37.0,27.01,706.7,111.76,15.81,84,11.89,0.78,1,0.008,0,7.03,31.16,5,0.887,1.27,
Oshima,1,oshima6,6,,5,1805,1883,34.29,26.92,693.8,7.99,1.15,31,4.47,0.342,1,0.103,1,14.34,31.07,3,0.944,1.25,
Oshima,1,oshima6,6,,6,2388,1880,32.17,24.21,550.1,90.78,16.5,51,9.27,0.908,1,0.004,0,7.36,24.36,4,0.9,1.31,
Oshima,1,oshima7,7,,1,1288,923,33.36,25.32,669.0,543.71,81.28,20,2.99,0.944,1,0.004,0,15.47,20.64,2,0.921,1.3,
Oshima,1,oshima7,7,,2,1916,944,29.97,28.28,533.2,495.83,93.0,9,1.69,0.992,1,0.0,0,13.42,19.54,3,0.913,1.07,
Oshima,1,oshima7,7,,3,1284,1590,28.36,25.82,541.3,12.42,2.29,40,7.39,0.973,1,0.529,1,6.79,24.9,7,0.892,1.05,
Oshima,1,oshima7,7,,4,1853,1517,32.26,27.52,569.4,105.99,18.61,43,7.55,0.795,1,0.005,0,4.42,26.7,6,0.862,1.03,
Oshima,1,oshima7,7,,5,1396,2193,28.79,25.23,530.7,104.71,19.73,51,9.61,0.873,1,0.005,0,5.34,23.88,5,0.941,1.08,
Oshima,1,oshima7,7,,6,1972,2129,30.65,26.16,554.8,8.42,1.52,38,6.85,0.687,1,0.096,0,6.71,24.64,6,0.799,1.1,
Oshima,1,oshima8,8,,1,1621,1164,30.65,21.76,527.6,463.2,87.8,12,2.27,0.989,1,0.0,0,5.5,21.49,4,0.969,1.35,
Oshima,1,oshima8,8,,2,2302,1151,36.91,24.47,674.9,178.09,26.39,65,9.63,0.929,1,0.011,0,7.14,31.47,4,0.913,1.43,
Oshima,1,oshima8,8,,3,814,1214,30.65,20.24,456.7,184.71,40.45,54,11.83,0.986,1,0.0,0,6.06,22.44,4,0.927,1.44,
Oshima,1,oshima8,8,,4,2934,1244,38.78,27.6,843.5,666.48,79.01,12,1.42,0.943,1,0.0,0,7.82,20.88,4,0.931,1.36,
Oshima,1,oshima8,8,,5,973,1819,37.68,27.77,676.4,295.27,43.66,59,8.72,0.919,1,0.002,0,5.79,27.65,7,0.838,1.41,
Oshima,1,oshima8,8,,6,1685,1854,36.58,24.64,661.7,504.14,76.18,27,4.08,0.947,1,0.001,0,6.31,32.84,4,0.925,1.49,
Oshima,1,oshima8,8,,7,2371,1875,39.88,27.52,904.8,76.62,8.47,100,11.05,0.947,1,0.025,0,8.54,35.31,6,0.927,1.44,
Oshima,1,oshima8,8,,8,3015,2000,49.45,26.08,709.5,476.14,67.11,19,2.68,0.738,1,0.001,0,8.57,37.1,3,0.793,1.63,
Oshima,1,oshima8~9,8-9,,1,1296,256,40.3,23.2,714.0,188.29,26.37,88,12.33,0.888,1,0.0,0,7.14,30.75,6,0.862,1.71,
Oshima,1,oshima8~9,8-9,,2,1877,280,45.8,32.34,995.3,310.47,31.19,138,13.87,0.983,1,0.0,0,9.89,16.53,5,0.84,1.42,
Oshima,1,oshima8~9,8-9,,3,608,674,40.98,30.14,905.1,271.75,30.03,233,25.74,0.946,1,0.002,0,8.19,38.09,6,0.893,1.3,
Oshima,1,oshima8~9,8-9,,4,1336,843,36.58,32.09,761.2,64.16,8.43,91,11.96,0.965,1,0.008,0,5.82,29.55,4,0.896,1.05,
Oshima,1,oshima8~9,8-9,,5,1983,888,41.91,29.63,792.8,112.46,14.19,112,14.13,0.962,1,0.005,0,12.56,31.25,3,0.924,1.08,
Oshima,1,oshima8~9,8-9,,6,604,1224,45.72,26.5,896.1,501.4,55.95,130,14.51,0.983,1,0.002,0,5.82,40.23,5,0.914,1.7,
Oshima,1,oshima8~9,8-9,,7,1324,1372,32.77,23.03,542.3,128.7,23.73,89,16.41,0.997,1,0.002,0,5.28,29.11,6,0.951,1.23,
Oshima,1,oshima8~9,8-9,,8,1953,1388,31.16,28.19,600.8,106.95,17.8,103,17.14,0.946,1,0.001,0,8.6,25.76,5,0.852,1.1,
Oshima,1,oshima8~9,8-9,,9,568,1860,34.12,24.89,674.1,66.97,9.93,77,11.42,0.903,1,0.005,0,5.61,31.94,9,0.935,1.37,
Oshima,1,oshima8~9,8-9,,10,1317,1930,31.24,20.49,456.0,240.11,52.66,20,4.39,0.948,1,0.008,0,4.12,26.4,5,0.888,1.42,
Oshima,1,oshima8~9,8-9,,11,1877,1920,37.34,27.77,812.0,279.48,34.42,57,7.02,0.941,1,0.033,0,8.46,25.69,10,0.879,1.31,
Oshima,1,oshima8~9,8-9,,12,536,2430,39.96,23.88,657.6,33.69,5.12,92,13.99,0.96,1,0.05,0,7.14,30.19,4,0.817,1.21,
Oshima,1,oshima8~9,8-9,,13,1340,2445,34.21,26.75,561.4,274.21,48.85,55,9.8,0.958,1,0.007,0,6.39,24.6,5,0.787,1.26,
Oshima,1,oshima8~9,8-9,,14,1907,2493,33.87,22.18,516.1,163.92,31.76,40,7.75,0.952,1,0.015,0,6.36,23.27,6,0.888,1.47,
Shikinejima,3.5,shikine1~4,1-4,,1,985,1190,35.31,23.88,478.6,0.92,0.19,11,2.3,0.99,0,0.064,0,5.42,25.38,6,0.768,1.38,
Shikinejima,3.5,shikine1~4,1-4,,2,396,1228,32.51,23.37,429.6,0.2,0.05,2,0.47,0.444,0,0.038,0,12.07,19.41,3,0.74,1.29,
Shikinejima,3.5,shikine1~4,1-4,,3,569,1586,70.87,24.98,1261.0,1.13,0.09,16,1.27,0.971,0,0.129,1,6.5,44.4,4,0.778,2.82,
Shikinejima,3.5,shikine1~4,1-4,,4,1429,1564,48.09,24.89,830.3,0.54,0.07,8,0.96,0.998,0,0.054,0,7.28,33.83,5,0.78,1.92,
Shikinejima,3.5,shikine1~4,1-4,,5,1029,2058,56.98,42.25,1643.4,157.82,9.6,367,22.33,0.945,1,0.019,0,12.37,40.67,7,0.868,1.32,
Toshima,2,toshima1~2,1-2,,1,575,985,28.28,19.3,409.2,39.79,9.72,109,26.64,0.853,1,0.031,0,5.71,15.23,5,0.903,1.46,
Toshima,2,toshima1~2,1-2,,2,1009,1056,26.59,16.17,337.1,24.57,7.29,104,30.85,0.786,1,0.008,0,4.74,17.53,6,0.927,1.43,
Toshima,2,toshima1~2,1-2,,3,1497,1046,40.64,29.13,598.9,11.15,1.86,60,10.02,0.987,1,0.157,1,5.26,27.47,7,0.707,1.01,
Toshima,2,toshima1~2,1-2,,4,1870,1092,29.38,18.63,425.2,9.7,2.28,76,17.88,0.887,1,0.028,0,5.88,22.57,7,0.87,1.54,
Toshima,2,toshima1~2,1-2,,5,576,1450,26.67,19.39,360.2,9.43,2.62,50,13.88,0.93,1,0.357,1,12.29,18.83,3,0.735,1.11,
Toshima,2,toshima1~2,1-2,,6,1033,1484,32.6,20.74,477.9,16.29,3.41,57,11.93,0.987,1,0.012,0,11.05,27.75,3,0.859,1.56,
Toshima,2,toshima1~2,1-2,,7,1551,1787,72.64,26.67,1403.7,93.45,6.66,213,15.17,0.963,1,0.084,0,6.04,64.33,8,0.714,2.34,
Toshima,2,toshima1~2,1-2,,8,588,1883,29.72,23.96,441.5,47.15,10.68,168,38.06,0.966,1,0.075,0,5.88,20.94,6,0.851,1.06,
Toshima,2,toshima1~2,1-2,,9,1139,1901,32.09,25.32,554.3,60.52,10.92,108,19.48,0.923,1,0.113,1,5.98,20.82,5,0.817,1.23,
Toshima,2,toshima1~2,1-2,,10,614,2257,34.63,23.71,620.6,14.99,2.42,70,11.28,0.814,1,0.091,0,13.53,23.26,3,0.92,1.4,
Toshima,2,toshima1~2,1-2,,11,1132,2419,35.14,19.47,413.6,13.45,3.25,53,12.81,0.978,1,0.027,0,6.14,30.26,5,0.775,1.73,
Toshima,2,toshima1~2,1-2,,12,1581,2441,36.24,24.47,565.5,4.11,0.73,25,4.42,0.904,1,0.06,0,15.58,29.4,3,0.848,1.44,
Toshima,2,toshima1~2,1-2,,13,456,2826,26.08,23.2,427.2,3.36,0.79,18,4.21,0.762,1,0.033,0,5.61,22.46,6,0.887,1.15,
Toshima,2,toshima1~2,1-2,,14,945,2848,33.27,28.7,692.7,1.12,0.16,8,1.15,1.0,0,0.059,0,6.31,30.77,6,0.947,1.15,
Toshima,2,toshima1~2,1-2,,15,1374,2872,31.75,24.81,539.1,4.2,0.78,15,2.78,0.906,1,0.056,0,5.52,27.0,4,0.894,1.2,
Toshima,2,toshima1~2,1-2,,16,1795,2923,29.55,24.98,540.5,1.23,0.23,6,1.11,0.951,0,0.065,0,7.06,15.73,4,0.873,1.05,
Toshima,2,toshima2~3,2-3,,1,442,931,36.07,28.11,565.4,22.5,3.98,74,13.09,0.941,1,0.068,0,15.2,21.5,3,0.784,1.06,
Toshima,2,toshima2~3,2-3,,2,974,927,34.29,24.81,605.7,1.47,0.24,17,2.81,0.849,0,0.027,0,13.53,23.85,3,0.881,1.37,
Toshima,2,toshima2~3,2-3,,3,1348,965,32.0,24.98,527.8,4.77,0.9,26,4.93,0.87,1,0.027,0,5.47,22.05,8,0.742,1.06,
Toshima,2,toshima2~3,2-3,,4,482,1351,22.86,20.49,326.2,5.41,1.66,23,7.05,0.922,1,0.005,0,9.7,14.57,3,0.825,1.01,
