island,sheet,corolla_id,cx,cy,site_no_auto,site_candidates,site_no_FILL,individual_FILL,flower_no_FILL,fold_state_FILL(open/folded),split_or_exclude_FILL,site_lat,site_lon,fold_check,merge_check,notes
Niijima,niijima1~2,9,1591,2133,,1|2,,,,,,,,,,
Niijima,niijima1~2,10,708,2530,,1|2,,,,,,,,,,
Niijima,niijima1~2,11,1132,2519,,1|2,,,,,,,,,,
Niijima,niijima1~2,12,1619,2619,,1|2,,,,,,,,,,
Niijima,niijima1~2,13,301,2968,,1|2,,,,,,,,,,
Niijima,niijima1~2,14,680,2992,,1|2,,,,,,,,,,
Niijima,niijima1~2,15,1071,2944,,1|2,,,,,,,,,,
Niijima,niijima1~2,16,1495,3001,,1|2,,,,,,,,,,
Niijima,niijima2,1,273,1181,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,2,766,1219,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,3,1169,1226,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,4,307,2107,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,5,1593,2167,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,6,1168,2368,2,,,,,folded,SPLIT?,34.4126,139.27922,check,check,
Niijima,niijima2,7,244,2572,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,8,699,2582,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,9,1481,2679,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,10,299,2996,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,11,710,2993,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2,12,1090,2958,2,,,,,,,34.4126,139.27922,,,
Niijima,niijima2~4,1,347,1347,,2|3|4,,,,,,,,,,
Niijima,niijima2~4,2,837,1394,,2|3|4,,,,,,,,,,
Niijima,niijima2~4,3,1168,1344,,2|3|4,,,,,,,,,,
Niijima,niijima2~4,4,385,1789,,2|3|4,,,,,,,,,,
Niijima,niijima2~4,5,778,1820,,2|3|4,,,,,,,,,,
Niijima,niijima2~4,6,356,2306,,2|3|4,,,,,,,,,,
Niijima,niijima2~4,7,794,2329,,2|3|4,,,,,,,,,,
Oshima,oshima1(2),1,896,769,1,,,,,,,34.76697,139.37248,,,
Oshima,oshima1(2),2,1795,885,1,,,,,,,34.76697,139.37248,,,
Oshima,oshima1(2),3,1766,1629,1,,,,,,,34.76697,139.37248,,,
Oshima,oshima1(2),4,1040,2589,1,,,,,,,34.76697,139.37248,,,
Oshima,oshima1(2),5,1591,2607,1,,,,,,,34.76697,139.37248,,,
Oshima,oshima1,1,875,1427,1,,,,,,,34.76697,139.37248,,,
Oshima,oshima1,2,1794,1457,1,,,,,,,34.76697,139.37248,,,
Oshima,oshima1,3,1034,2288,1,,,,,,SPLIT?,34.76697,139.37248,,check,
Oshima,oshima1,4,1801,2340,1,,,,,,SPLIT?,34.76697,139.37248,,check,
Oshima,oshima10~13,1,1416,546,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,2,1941,554,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,3,2470,576,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,4,1292,954,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,5,1781,991,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,6,2376,982,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,7,655,1061,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,8,2927,1179,,10|11|12|13,,,,folded,SPLIT?,,,check,check,
Oshima,oshima10~13,9,619,1481,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,10,1203,1524,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,11,1701,1553,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,12,2330,1530,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,13,2864,1973,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,14,652,2001,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,15,1169,2002,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,16,1671,2059,,10|11|12|13,,,,,,,,,,
Oshima,oshima10~13,17,2331,2067,,10|11|12|13,,,,,,,,,,
Oshima,oshima13~15,1,463,496,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,2,958,466,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,3,1434,504,,13|14|15,,,,,SPLIT?,,,,check,
Oshima,oshima13~15,4,2064,516,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,5,1348,1173,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,6,1970,1198,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,7,815,1797,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,8,1335,1839,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,9,2032,1899,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,10,615,2475,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,11,1034,2508,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,12,1626,2488,,13|14|15,,,,,,,,,,
Oshima,oshima13~15,13,2010,2448,,13|14|15,,,,,,,,,,
Oshima,oshima4,1,717,376,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima4,2,1647,773,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima4,3,658,802,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima4,4,660,1343,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima4,5,1052,1334,4,,,,,folded,,34.78443,139.4136,check,,
Oshima,oshima4,6,1663,1323,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima4,7,837,1964,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima4,8,1683,1925,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima4,9,877,2562,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima4,10,1752,2571,4,,,,,,,34.78443,139.4136,,,
Oshima,oshima5,1,924,776,5,,,,,,,34.7846373,139.4115378,,,
Oshima,oshima5,2,1641,813,5,,,,,,,34.7846373,139.4115378,,,
Oshima,oshima5,3,1601,1545,5,,,,,,,34.7846373,139.4115378,,,
Oshima,oshima5,4,936,2258,5,,,,,,,34.7846373,139.4115378,,,
Oshima,oshima5,5,1673,2257,5,,,,,,,34.7846373,139.4115378,,,
Oshima,oshima6,1,1072,1234,6,,,,,,,34.78538,139.39223,,,
Oshima,oshima6,2,1769,1230,6,,,,,,,34.78538,139.39223,,,
Oshima,oshima6,3,2479,1218,6,,,,,,,34.78538,139.39223,,,
Oshima,oshima6,4,1116,1843,6,,,,,,,34.78538,139.39223,,,
Oshima,oshima6,5,1805,1883,6,,,,,,,34.78538,139.39223,,,
Oshima,oshima6,6,2388,1880,6,,,,,,,34.78538,139.39223,,,
Oshima,oshima7,1,1288,923,7,,,,,,,34.78843,139.39223,,,
Oshima,oshima7,2,1916,944,7,,,,,,,34.78843,139.39223,,,
Oshima,oshima7,3,1284,1590,7,,,,,,,34.78843,139.39223,,,
Oshima,oshima7,4,1853,1517,7,,,,,,,34.78843,139.39223,,,
Oshima,oshima7,5,1396,2193,7,,,,,,,34.78843,139.39223,,,
Oshima,oshima7,6,1972,2129,7,,,,,,,34.78843,139.39223,,,
Oshima,oshima8,1,1621,1164,8,,,,,,,34.72078,139.35477,,,
Oshima,oshima8,2,2302,1151,8,,,,,,,34.72078,139.35477,,,
Oshima,oshima8,3,814,1214,8,,,,,,,34.72078,139.35477,,,
Oshima,oshima8,4,2934,1244,8,,,,,,,34.72078,139.35477,,,
Oshima,oshima8,5,973,1819,8,,,,,,,34.72078,139.35477,,,
Oshima,oshima8,6,1685,1854,8,,,,,,,34.72078,139.35477,,,
Oshima,oshima8,7,2371,1875,8,,,,,,,34.72078,139.35477,,,
Oshima,oshima8,8,3015,2000,8,,,,,folded,,34.72078,139.35477,check,,
Oshima,oshima8~9,1,1296,256,,8|9,,,,,,,,,,
Oshima,oshima8~9,2,1877,280,,8|9,,,,,,,,,,
Oshima,oshima8~9,3,608,674,,8|9,,,,,,,,,,
Oshima,oshima8~9,4,1336,843,,8|9,,,,,,,,,,
Oshima,oshima8~9,5,1983,888,,8|9,,,,,,,,,,
Oshima,oshima8~9,6,604,1224,,8|9,,,,,,,,,,
Oshima,oshima8~9,7,1324,1372,,8|9,,,,,,,,,,
Oshima,oshima8~9,8,1953,1388,,8|9,,,,,,,,,,
Oshima,oshima8~9,9,568,1860,,8|9,,,,,,,,,,
Oshima,oshima8~9,10,1317,1930,,8|9,,,,,,,,,,
Oshima,oshima8~9,11,1877,1920,,8|9,,,,,,,,,,
Oshima,oshima8~9,12,536,2430,,8|9,,,,,,,,,,
Oshima,oshima8~9,13,1340,2445,,8|9,,,,,,,,,,
Oshima,oshima8~9,14,1907,2493,,8|9,,,,,,,,,,
Shikinejima,shikine1~4,1,985,1190,1,,,,,,,34.3330206,139.2142814,,,
Shikinejima,shikine1~4,2,396,1228,1,,,,,,,34.3330206,139.2142814,,,
Shikinejima,shikine1~4,3,569,1586,1,,,,,folded,SPLIT?,34.3330206,139.2142814,check,check,
Shikinejima,shikine1~4,4,1429,1564,1,,,,,folded,,34.3330206,139.2142814,check,,
Shikinejima,shikine1~4,5,1029,2058,1,,,,,,SPLIT?,34.3330206,139.2142814,,check,
Toshima,toshima1~2,1,575,985,,1|2,,,,,,,,,,
Toshima,toshima1~2,2,1009,1056,,1|2,,,,,,,,,,
Toshima,toshima1~2,3,1497,1046,,1|2,,,,,,,,,,
Toshima,toshima1~2,4,1870,1092,,1|2,,,,,,,,,,
Toshima,toshima1~2,5,576,1450,,1|2,,,,,,,,,,
Toshima,toshima1~2,6,1033,1484,,1|2,,,,,,,,,,
Toshima,toshima1~2,7,1551,1787,,1|2,,,,folded,SPLIT?,,,check,check,
Toshima,toshima1~2,8,588,1883,,1|2,,,,,,,,,,
Toshima,toshima1~2,9,1139,1901,,1|2,,,,,,,,,,
Toshima,toshima1~2,10,614,2257,,1|2,,,,,,,,,,
Toshima,toshima1~2,11,1132,2419,,1|2,,,,,,,,,,
Toshima,toshima1~2,12,1581,2441,,1|2,,,,,,,,,,
Toshima,toshima1~2,13,456,2826,,1|2,,,,,,,,,,
Toshima,toshima1~2,14,945,2848,,1|2,,,,,,,,,,
Toshima,toshima1~2,15,1374,2872,,1|2,,,,,,,,,,
Toshima,toshima1~2,16,1795,2923,,1|2,,,,,,,,,,
Toshima,toshima2~3,1,442,931,,2|3,,,,,,,,,,
Toshima,toshima2~3,2,974,927,,2|3,,,,,,,,,,
Toshima,toshima2~3,3,1348,965,,2|3,,,,,,,,,,
Toshima,toshima2~3,4,482,1351,,2|3,,,,,,,,,,
Toshima,toshima2~3,5,840,1427,,2|3,,,,,,,,,,
Toshima,toshima2~3,6,1256,1451,,2|3,,,,,,,,,,
Toshima,toshima2~3,7,1702,1483,,2|3,,,,folded,,,,check,,
Toshima,toshima2~3,8,307,1846,,2|3,,,,folded,,,,check,,
Toshima,toshima2~3,9,856,1838,,2|3,,,,,,,,,,
Toshima,toshima2~3,10,1407,1936,,2|3,,,,,,,,,,
Toshima,toshima2~3,11,51,2043,,2|3,,,,folded,,,,check,,
Toshima,toshima2~3,12,360,2328,,2|3,,,,,,,,,,
Toshima,toshima2~3,13,931,2299,,2|3,,,,,,,,,,
Toshima,toshima2~3,14,1388,2386,,2|3,,,,,,,,,,
Toshima,toshima2~3,15,330,2776,,2|3,,,,,,,,,,
Toshima,toshima2~3,16,883,2776,,2|3,,,,,SPLIT?,,,,check,
Toshima,toshima2~3,17,1329,2769,,2|3,,,,,,,,,,
Toshima,toshima3~6,1,563,273,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,2,1117,253,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,3,1556,262,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,4,494,685,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,5,922,729,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,6,1555,776,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,7,394,1212,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,8,929,1247,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,9,1435,1292,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,10,819,1719,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,11,1399,1726,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,12,414,2125,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,13,753,2136,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,14,1159,2099,,3|4|5|6,,,,,,,,,,
Toshima,toshima3~6,15,1539,2127,,3|4|5|6,,,,,,,,,,
Toshima,toshima6~8,1,1527,273,,6|7|8,,,,,SPLIT?,,,,check,
Toshima,toshima6~8,2,318,1129,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,3,765,1131,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,4,1306,1028,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,5,235,1565,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,6,1260,1577,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,7,784,1606,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,8,280,2038,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,9,733,2034,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,10,1275,2068,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,11,858,2518,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,12,338,2699,,6|7|8,,,,,SPLIT?,,,,check,
Toshima,toshima6~8,13,1549,2760,,6|7|8,,,,folded,SPLIT?,,,check,check,
Toshima,toshima6~8,14,801,2965,,6|7|8,,,,,,,,,,
Toshima,toshima6~8,15,1286,2947,,6|7|8,,,,,,,,,,
