island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Oshima,oshima4,1,76,869.67,776.89,0.0645,0.2866,mixed,0.778,2.889,2.0,0.0,,
Oshima,oshima4,1,77,854.41,777.71,0.5448,0.8329,mixed,0.961,7.803,8.0,0.0,,
Oshima,oshima4,1,78,769.37,778.68,0.1362,0.4164,mixed,0.895,7.421,7.0,0.0,,
Oshima,oshima4,1,79,780.22,781.22,0.1935,0.4964,mixed,0.926,8.815,9.0,0.0,,
Oshima,oshima4,1,80,670.7,782.89,0.2652,0.5811,mixed,0.919,8.297,8.0,0.0,,
Oshima,oshima4,1,81,627.25,783.52,1.9498,1.5756,mixed,0.938,10.754,11.0,0.0,,
Oshima,oshima4,1,82,728.35,784.12,0.3728,0.6889,mixed,0.904,7.423,7.0,0.0,,
Oshima,oshima4,1,83,678.11,786.43,0.3154,0.6337,mixed,0.909,7.523,7.0,0.0,,
Oshima,oshima4,1,84,612.5,787.5,0.043,0.234,mixed,0.333,7.167,7.0,0.0,,
Oshima,oshima4,1,85,706.41,788.67,2.3728,1.7381,mixed,0.958,9.323,9.0,0.0,,
Oshima,oshima4,1,86,889.76,789.63,0.4516,0.7583,mixed,0.889,7.127,7.0,0.0,,
Oshima,oshima4,1,87,642.0,790.0,0.0215,0.1655,strong,1.0,6.333,8.0,0.0,,
Oshima,oshima4,1,88,700.5,795.0,0.0143,0.1351,weak_recovered,0.0,1.0,1.0,0.0,,
Oshima,oshima4,1,89,786.93,795.2,0.1075,0.37,mixed,0.8,8.333,10.0,0.0,,
Oshima,oshima4,1,90,743.2,795.27,2.3226,1.7197,mixed,0.957,9.293,10.0,0.0,,
Oshima,oshima4,1,91,689.88,798.51,0.5305,0.8218,mixed,0.973,8.689,9.0,0.0,,
Oshima,oshima4,1,92,833.3,798.53,4.2366,2.3225,mixed,0.97,10.152,11.0,0.0,check,
Oshima,oshima4,1,93,646.35,803.0,0.2437,0.5571,mixed,0.912,9.706,11.5,0.0,,
Oshima,oshima4,1,94,795.55,803.73,0.4444,0.7523,mixed,0.919,7.71,7.0,0.0,,
Oshima,oshima4,1,95,866.06,805.54,2.0072,1.5986,mixed,0.914,10.811,11.0,0.0,,
Oshima,oshima4,1,96,773.57,805.64,0.1004,0.3575,strong,1.0,9.0,8.5,0.0,,
Oshima,oshima4,1,97,816.5,807.0,0.043,0.234,mixed,0.667,3.0,2.0,0.0,,
Oshima,oshima4,1,98,804.44,809.89,0.0645,0.2866,mixed,0.889,6.111,5.0,0.0,,
Oshima,oshima4,1,99,786.75,810.33,0.086,0.3309,mixed,0.917,8.667,9.5,0.0,,
Oshima,oshima4,1,100,658.41,810.4,0.724,0.9601,mixed,0.97,8.297,8.0,0.0,,
Oshima,oshima4,1,101,673.62,811.75,0.172,0.468,mixed,0.917,7.667,7.0,0.0,,
Oshima,oshima4,1,102,887.5,812.0,0.0287,0.1911,strong,1.0,3.25,3.0,0.0,,
Oshima,oshima4,1,103,912.29,815.0,0.0502,0.2528,mixed,0.143,2.0,2.0,0.0,,
Oshima,oshima4,1,104,695.94,815.7,1.5054,1.3845,mixed,0.919,9.39,10.0,0.0,,
Oshima,oshima4,1,105,711.38,816.1,0.2867,0.6042,mixed,0.95,9.925,10.0,0.0,,
Oshima,oshima4,1,106,810.11,817.45,0.5233,0.8163,mixed,0.959,7.877,8.0,0.0,,
Oshima,oshima4,1,107,727.53,820.04,0.5806,0.8598,mixed,0.963,9.654,11.0,0.0,,
Oshima,oshima4,1,108,762.15,820.47,0.2437,0.5571,mixed,0.941,7.5,7.5,0.0,,
Oshima,oshima4,1,109,886.5,821.62,0.0573,0.2702,mixed,0.875,6.875,5.5,0.0,,
Oshima,oshima4,1,110,746.91,823.86,0.4946,0.7936,mixed,0.797,7.928,7.0,0.0,,
Oshima,oshima4,1,111,667.0,825.5,0.0143,0.1351,strong,1.0,4.0,4.0,0.0,,
Oshima,oshima4,1,112,663.54,826.54,0.0932,0.3445,mixed,0.923,7.308,7.0,0.0,,
Oshima,oshima4,1,113,844.94,828.3,3.4552,2.0974,mixed,0.959,9.315,10.0,0.0,check,
Oshima,oshima4,1,114,793.08,830.67,0.086,0.3309,strong,1.0,8.917,8.5,0.0,,
Oshima,oshima4,1,115,697.92,832.05,0.2867,0.6042,mixed,0.8,6.75,6.5,0.0,,
Oshima,oshima4,1,116,621.77,832.19,9.3763,3.4552,mixed,0.95,11.803,11.0,0.0,check,
Oshima,oshima4,1,117,728.62,833.12,0.9319,1.0893,mixed,0.954,8.869,10.0,0.0,,
Oshima,oshima4,1,118,672.8,835.13,0.1075,0.37,mixed,0.867,9.4,9.0,0.0,,
Oshima,oshima4,1,119,871.7,841.93,1.7778,1.5045,mixed,0.944,8.657,9.0,0.0,,
Oshima,oshima4,1,120,775.49,842.13,1.233,1.2529,mixed,0.953,9.959,10.0,0.0,,
Oshima,oshima4,1,121,697.79,843.64,2.2724,1.701,mixed,0.915,9.618,9.0,0.0,,
Oshima,oshima4,1,122,665.0,845.83,0.043,0.234,strong,1.0,6.5,3.5,0.0,,
Oshima,oshima4,1,123,833.91,846.8,0.5018,0.7993,mixed,0.929,8.743,9.0,0.0,,
Oshima,oshima4,1,124,854.56,849.72,0.7097,0.9506,mixed,0.97,8.495,9.0,0.0,,
Oshima,oshima4,1,125,732.75,854.12,3.4624,2.0996,mixed,0.954,10.296,11.0,0.0,check,
Oshima,oshima4,1,126,658.12,855.25,0.0573,0.2702,mixed,0.875,10.375,11.5,0.0,,
Oshima,oshima4,1,127,798.02,855.43,1.5771,1.417,mixed,0.936,7.591,8.0,0.0,,
Oshima,oshima4,1,128,836.53,858.27,0.1075,0.37,mixed,0.933,6.067,6.0,0.0,,
Oshima,oshima4,1,129,692.31,863.1,0.4803,0.782,mixed,0.91,9.224,10.0,0.0,,
Oshima,oshima4,1,130,884.42,865.11,0.1362,0.4164,mixed,0.947,9.895,10.0,0.0,,
Oshima,oshima4,1,131,848.38,865.42,0.172,0.468,mixed,0.792,6.125,6.0,0.0,,
