sheet,corolla_id,fold_state,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,roi_source,match_iou,has_nectar_guide,guide_coverage_pct,organ_length_mm,qc_flag
niijiama2-4,3,folded_half,25.32,17.1,361.7,34.2,723.4,iphone,0.933,1,0.32,13.28,
niijiama2-4,4,folded_half,24.98,19.56,401.2,39.12,802.4,iphone,0.943,1,0.45,16.26,
niijiama2-4,5,folded_half,27.16,24.61,479.7,49.22,959.4,iphone,0.93,1,1.75,16.04,
niijiama2-4,6,folded_half,24.72,19.3,399.0,38.6,798.0,iphone,0.914,1,19.98,15.7,
niijiama2-4,7,folded_half,24.55,21.51,457.9,43.02,915.8,iphone,0.905,1,15.4,15.17,
niijima2,1,folded_half,29.04,25.65,565.9,51.3,1131.8,iphone,0.933,1,44.14,18.51,
niijima2,2,folded_half,29.21,24.13,555.1,48.26,1110.2,iphone,0.928,1,50.5,19.37,
niijima2,3,folded_half,32.09,22.86,544.9,45.72,1089.8,iphone,0.902,1,39.56,16.55,
niijima2,4,folded_half,38.02,31.67,915.7,63.34,1831.4,iphone,0.922,1,5.69,19.04,
niijima2,5,folded_half,31.24,29.63,676.8,59.26,1353.6,iphone,0.934,1,10.51,17.94,
niijima2,6a,folded_half,39.88,33.36,940.8,66.72,1881.6,hand,,1,6.38,18.06,split_from_merged_pair
niijima2,6b,folded_half,34.51,28.8,756.6,57.6,1513.2,hand,,1,27.13,19.25,split_from_merged_pair
niijima2,7,folded_half,32.85,26.42,657.5,52.84,1315.0,iphone,0.904,1,17.37,18.8,
niijima2,8,folded_half,30.99,29.29,705.5,58.58,1411.0,iphone,0.92,1,1.99,18.81,
niijima2,9a,folded_half,32.85,29.29,760.0,58.58,1520.0,hand,,1,20.75,18.57,split_from_merged_pair
niijima2,9b,folded_half,29.53,27.23,617.3,54.46,1234.6,hand,,1,22.45,15.23,split_from_merged_pair
niijima2,10,folded_half,31.41,27.35,634.8,54.7,1269.6,iphone,0.909,1,16.56,17.21,
niijima2,11,folded_half,31.24,26.33,623.9,52.66,1247.8,iphone,0.898,1,10.52,17.5,
niijima2,12,folded_half,27.69,23.71,546.8,47.42,1093.6,iphone,0.931,1,10.71,14.93,
niijima2,13,folded_half,28.87,22.94,493.0,45.88,986.0,iphone,0.939,1,5.74,16.74,
niijima2,14,folded_half,28.53,25.57,533.1,51.14,1066.2,iphone,0.92,1,6.51,17.72,
niijima2,15,folded_half,26.84,23.79,487.5,47.58,975.0,iphone,0.92,1,2.1,15.56,
oshima1(2),1,folded_half,35.48,25.4,700.9,50.8,1401.8,iphone,0.909,1,4.88,22.8,
oshima1(2),2,folded_half,35.64,26.75,713.2,53.5,1426.4,iphone,0.911,1,4.11,26.04,
oshima1(2),3,folded_half,47.16,32.68,1212.2,65.36,2424.4,iphone,0.942,1,39.65,29.41,
oshima1(2),4,folded_half,40.3,31.24,968.3,62.48,1936.6,iphone,0.858,1,7.79,29.05,
oshima1(2),5,folded_half,37.93,29.63,921.5,59.26,1843.0,iphone,0.939,1,20.02,20.91,
oshima1,1,folded_half,49.95,34.63,1335.3,69.26,2670.6,iphone,0.925,1,16.0,29.46,
oshima1,2,folded_half,47.41,34.21,1255.9,68.42,2511.8,iphone,0.91,1,15.93,28.83,
oshima1,3,folded_half,45.13,36.58,1304.0,73.16,2608.0,iphone,0.902,1,12.85,28.97,
oshima1,4,folded_half,45.21,30.73,1098.0,61.46,2196.0,iphone,0.916,1,19.67,29.57,
oshima10-13,1,folded_half,33.87,21.84,571.9,43.68,1143.8,iphone,0.931,1,44.48,20.54,
oshima10-13,2,folded_half,39.03,26.25,805.7,52.5,1611.4,iphone,0.921,1,41.58,21.17,
oshima10-13,3,folded_half,39.29,26.92,855.2,53.84,1710.4,iphone,0.949,1,26.08,23.16,
oshima10-13,4,folded_half,39.71,26.75,859.4,53.5,1718.8,iphone,0.949,1,58.8,23.46,
oshima10-13,5,folded_half,35.9,27.52,813.7,55.04,1627.4,iphone,0.962,1,66.99,21.85,
oshima10-13,6,folded_half,38.18,24.81,741.0,49.62,1482.0,iphone,0.898,1,42.86,22.87,
oshima10-13,7,folded_half,38.86,25.91,815.9,51.82,1631.8,iphone,0.854,1,43.67,21.17,
oshima10-13,8,folded_half,24.05,21.08,417.6,42.16,835.2,iphone,0.937,1,63.43,14.74,
oshima10-13,9,folded_half,23.71,21.0,393.1,42.0,786.2,iphone,0.92,1,51.15,13.82,
oshima10-13,10,folded_half,31.24,22.44,583.2,44.88,1166.4,iphone,0.915,1,61.95,18.51,
oshima10-13,11,folded_half,34.12,22.35,572.9,44.7,1145.8,iphone,0.849,1,77.67,21.21,
oshima10-13,12,folded_half,32.26,23.11,628.6,46.22,1257.2,iphone,0.943,1,43.91,27.59,
oshima10-13,13,folded_half,36.83,23.2,688.3,46.4,1376.6,iphone,0.945,1,34.37,25.77,
oshima10-13,14,folded_half,41.57,26.42,897.3,52.84,1794.6,iphone,0.932,1,57.46,22.11,
oshima10-13,15,folded_half,39.37,24.98,858.4,49.96,1716.8,iphone,0.944,1,64.51,23.84,
oshima10-13,16,folded_half,34.8,22.18,599.3,44.36,1198.6,iphone,0.901,1,6.29,20.67,
oshima10-13,17,folded_half,36.58,27.69,921.6,55.38,1843.2,iphone,0.923,1,1.74,22.53,
oshima10-13,18,folded_half,32.09,26.16,673.4,52.32,1346.8,iphone,0.924,1,14.46,23.12,
oshima13-15,1,folded_half,32.0,23.88,584.7,47.76,1169.4,iphone,0.911,1,19.81,20.35,
oshima13-15,2,folded_half,40.64,30.73,902.9,61.46,1805.8,iphone,0.873,1,5.64,26.36,
oshima13-15,3,folded_half,33.87,26.08,702.5,52.16,1405.0,iphone,0.901,1,16.34,19.57,
oshima13-15,4,folded_half,29.46,26.16,628.8,52.32,1257.6,iphone,0.929,1,3.99,24.14,
oshima13-15,5,folded_half,37.42,28.7,878.4,57.4,1756.8,iphone,0.964,1,51.49,22.16,
oshima13-15,6,folded_half,43.26,31.41,1056.8,62.82,2113.6,iphone,0.904,1,38.59,28.7,
oshima13-15,7,folded_half,37.34,26.25,803.5,52.5,1607.0,iphone,0.932,1,33.72,26.08,
oshima13-15,8,folded_half,41.99,28.62,1029.3,57.24,2058.6,iphone,0.878,1,44.31,28.47,
oshima13-15,9,folded_half,42.08,32.17,1099.0,64.34,2198.0,iphone,0.933,1,39.92,28.07,
oshima13-15,10,folded_half,47.92,27.52,1034.3,55.04,2068.6,iphone,0.916,1,8.65,24.4,
oshima13-15,11,folded_half,48.68,31.16,1145.8,62.32,2291.6,iphone,0.925,1,12.73,26.6,
oshima13-15,12,folded_half,44.11,30.73,1078.2,61.46,2156.4,iphone,0.928,1,8.75,24.45,
oshima13-15,13,folded_half,42.5,29.72,1013.7,59.44,2027.4,iphone,0.922,1,17.22,27.5,
oshima4,1,folded_half,44.79,31.75,1159.7,63.5,2319.4,iphone,0.942,1,14.24,26.27,
oshima4,2,folded_half,34.37,28.02,760.1,56.04,1520.2,iphone,0.923,1,26.34,21.9,
oshima4,3,folded_half,34.63,27.26,763.9,54.52,1527.8,iphone,0.94,1,48.36,23.37,
oshima4,4,folded_half,44.96,32.0,1093.8,64.0,2187.6,iphone,0.949,1,11.58,20.46,
oshima4,5,folded_half,38.61,33.61,1066.4,67.22,2132.8,iphone,0.959,1,64.69,22.11,
oshima4,6,folded_half,33.53,25.4,695.8,50.8,1391.6,iphone,0.919,1,34.03,22.42,
oshima4,7,folded_half,37.34,30.99,932.4,61.98,1864.8,iphone,0.934,1,57.31,22.15,
oshima4,8a,folded_half,31.85,30.85,755.5,61.7,1511.0,hand,,1,19.95,20.58,split_from_merged_pair
oshima4,8b,folded_half,34.43,30.47,732.0,60.94,1464.0,hand,,1,14.2,22.19,split_from_merged_pair
oshima5,1,folded_half,31.75,25.99,661.0,51.98,1322.0,iphone,0.913,1,5.07,23.8,
oshima5,2,folded_half,31.83,23.96,635.4,47.92,1270.8,iphone,0.891,0,0.95,21.95,
oshima5,3,folded_half,31.07,22.35,562.2,44.7,1124.4,iphone,0.943,1,15.06,25.18,
oshima5,4,folded_half,33.44,27.01,766.8,54.02,1533.6,iphone,0.927,1,5.95,21.14,
oshima5,5,folded_half,32.6,28.7,754.5,57.4,1509.0,iphone,0.942,1,5.88,24.82,
oshima6,1,folded_half,34.88,27.26,726.6,54.52,1453.2,iphone,0.934,1,20.66,23.08,
oshima6,2,folded_half,31.33,23.11,587.0,46.22,1174.0,iphone,0.91,1,22.21,21.3,
oshima6,3,folded_half,33.61,25.57,665.9,51.14,1331.8,iphone,0.939,1,5.93,22.88,
oshima6,4,folded_half,31.41,24.13,631.0,48.26,1262.0,iphone,0.921,1,13.74,20.26,
oshima6,5,folded_half,30.23,21.84,533.0,43.68,1066.0,iphone,0.911,1,24.27,22.92,
oshima6,6,folded_half,29.38,24.3,556.5,48.6,1113.0,iphone,0.918,1,8.91,18.3,
oshima7,1,folded_half,27.35,24.64,535.6,49.28,1071.2,iphone,0.931,1,27.7,23.49,
oshima7,2,folded_half,28.53,23.62,536.2,47.24,1072.4,iphone,0.923,1,7.93,21.25,
oshima7,3,folded_half,26.75,24.72,531.1,49.44,1062.2,iphone,0.921,1,6.92,16.44,
oshima7,4,folded_half,27.6,25.48,560.9,50.96,1121.8,iphone,0.843,1,24.29,13.12,
oshima7,5,folded_half,27.6,26.92,559.6,53.84,1119.2,iphone,0.774,1,87.19,18.68,
oshima7,6,folded_half,32.43,25.57,689.3,51.14,1378.6,iphone,0.923,1,83.03,19.9,
oshima8-9,1,folded_half,30.31,19.9,540.9,39.8,1081.8,iphone,0.896,1,33.35,23.1,
oshima8-9,2,folded_half,33.61,21.51,569.7,43.02,1139.4,iphone,0.934,1,46.52,21.51,
oshima8-9,3,folded_half,32.09,22.52,614.3,45.04,1228.6,iphone,0.912,1,10.44,,
oshima8-9,4,folded_half,33.78,28.28,759.5,56.56,1519.0,iphone,0.937,1,46.51,22.57,
oshima8-9,5,folded_half,28.79,20.57,458.0,41.14,916.0,iphone,0.933,1,57.61,19.64,
oshima8-9,6,folded_half,33.78,23.28,672.2,46.56,1344.4,iphone,0.916,1,11.74,20.13,
oshima8-9,7,folded_half,31.75,22.94,657.9,45.88,1315.8,iphone,0.799,1,20.53,18.6,
oshima8-9,8,folded_half,30.56,25.15,588.5,50.3,1177.0,iphone,0.927,1,23.1,20.08,
oshima8-9,9,folded_half,42.5,26.5,922.9,53.0,1845.8,iphone,0.86,1,63.21,22.87,
oshima8-9,10,folded_half,34.21,29.21,787.9,58.42,1575.8,iphone,0.913,1,17.93,19.13,
oshima8-9,11,folded_half,33.44,26.67,718.5,53.34,1437.0,iphone,0.933,1,14.11,17.3,
oshima8-9,12,folded_half,42.16,28.28,974.8,56.56,1949.6,iphone,0.914,1,37.28,20.93,
oshima8-9,13,folded_half,43.86,29.46,1039.0,58.92,2078.0,iphone,0.931,1,33.87,22.78,
oshima8-9,14,folded_half,38.35,21.84,727.1,43.68,1454.2,iphone,0.923,1,29.92,21.71,
oshima8,1,folded_half,28.45,20.57,472.6,41.14,945.2,iphone,0.934,1,42.77,20.61,
oshima8,2,folded_half,32.85,25.4,721.3,50.8,1442.6,iphone,0.938,1,47.37,21.13,
oshima8,3,folded_half,35.9,24.38,689.6,48.76,1379.2,iphone,0.91,1,72.5,21.52,
oshima8,4,folded_half,29.97,21.59,594.5,43.18,1189.0,iphone,0.959,1,60.51,21.33,
oshima8,5,folded_half,39.37,27.94,916.5,55.88,1833.0,iphone,0.938,1,14.99,23.55,
oshima8,6,folded_half,36.07,23.62,724.2,47.24,1448.4,iphone,0.884,1,31.42,25.96,
oshima8,7,folded_half,36.37,28.7,755.6,57.4,1511.2,iphone,0.904,1,33.37,23.78,
oshima8,8,folded_half,40.13,28.28,912.5,56.56,1825.0,iphone,0.941,1,73.04,20.83,
shikine1,1,opened_full,19.84,32.55,402.6,32.55,402.6,hand,,0,0.06,,
shikine1,2,folded_half,26.84,20.57,381.9,41.14,763.8,iphone,0.833,0,0.13,15.98,
shikine1,3,folded_half,23.71,19.56,363.5,39.12,727.0,iphone,0.92,1,0.31,,
shikine1,4,opened_full,22.97,40.9,594.9,40.9,594.9,iphone,0.683,0,0.0,13.86,low_iou_match
shikine1,5,opened_full,26.5,40.13,730.1,40.13,730.1,iphone,0.609,0,0.03,16.78,low_iou_match
shikine1,6,opened_full,43.1,55.71,1304.7,55.71,1304.7,iphone,0.523,1,12.96,17.98,low_iou_match
toshima1-2,1,folded_half,27.94,18.12,451.0,36.24,902.0,iphone,0.916,1,13.98,15.38,
toshima1-2,2,folded_half,24.38,15.83,320.5,31.66,641.0,iphone,0.943,1,12.32,16.39,
toshima1-2,3,folded_half,28.53,19.98,456.9,39.96,913.8,iphone,0.91,1,2.76,19.41,
toshima1-2,4,folded_half,29.29,17.61,426.2,35.22,852.4,iphone,0.939,1,6.32,18.21,
toshima1-2,5,folded_half,25.4,16.26,333.9,32.52,667.8,iphone,0.91,1,5.22,16.3,
toshima1-2,6,folded_half,28.36,20.66,479.6,41.32,959.2,iphone,0.925,1,5.12,16.9,
toshima1-2,7,folded_half,31.75,23.11,537.6,46.22,1075.2,iphone,0.936,1,12.99,18.42,
toshima1-2,8,folded_half,24.21,18.97,377.0,37.94,754.0,iphone,0.945,1,20.33,17.27,
toshima1-2,9,folded_half,30.48,20.66,490.9,41.32,981.8,iphone,0.944,1,16.01,16.33,
toshima1-2,10,folded_half,32.17,26.33,747.5,52.66,1495.0,iphone,0.899,1,12.43,20.26,
toshima1-2,11,folded_half,32.43,23.2,617.8,46.4,1235.6,iphone,0.852,1,5.24,18.92,
toshima1-2,12,folded_half,26.84,18.8,392.7,37.6,785.4,iphone,0.934,1,4.63,18.17,
toshima1-2,13,folded_half,33.1,24.13,579.6,48.26,1159.2,iphone,0.92,1,1.6,18.31,
toshima1-2,14,folded_half,24.64,21.25,408.5,42.5,817.0,iphone,0.828,1,2.47,14.54,
toshima1-2,15,folded_half,32.0,28.28,692.3,56.56,1384.6,iphone,0.95,1,0.42,20.87,
toshima1-2,16,folded_half,26.67,24.47,496.9,48.94,993.8,iphone,0.87,1,1.57,17.45,
toshima1-2,17,folded_half,28.19,26.5,575.6,53.0,1151.2,iphone,0.923,1,0.45,13.33,
toshima2-3,1,folded_half,29.04,22.86,561.4,45.72,1122.8,iphone,0.931,1,7.7,18.28,
toshima2-3,2,folded_half,33.78,24.21,658.7,48.42,1317.4,iphone,0.912,0,0.31,19.5,
toshima2-3,3,folded_half,30.48,22.61,533.0,45.22,1066.0,iphone,0.805,1,2.02,18.74,
toshima2-3,4,folded_half,21.76,18.46,302.4,36.92,604.8,iphone,0.948,1,2.7,13.58,
toshima2-3,5,folded_half,19.47,15.41,242.7,30.82,485.4,iphone,0.915,1,12.31,11.59,
toshima2-3,6,folded_half,34.12,22.69,637.7,45.38,1275.4,iphone,0.92,1,28.61,21.33,
toshima2-3,7,folded_half,33.36,22.18,633.4,44.36,1266.8,iphone,0.903,1,22.0,19.42,
toshima2-3,8,folded_half,36.15,22.94,655.1,45.88,1310.2,iphone,0.92,1,14.94,21.03,
toshima2-3,9,folded_half,34.54,24.55,643.9,49.1,1287.8,iphone,0.887,1,15.64,17.87,
toshima2-3,10,folded_half,28.19,22.78,508.1,45.56,1016.2,iphone,0.914,1,2.56,16.85,
toshima2-3,11,folded_half,27.6,21.34,422.4,42.68,844.8,iphone,0.903,1,4.27,18.45,
toshima2-3,12,folded_half,28.36,24.13,523.7,48.26,1047.4,iphone,0.874,1,1.03,18.31,
toshima2-3,13,folded_half,28.11,24.13,501.5,48.26,1003.0,iphone,0.902,1,4.16,16.64,
toshima2-3,14,folded_half,30.65,25.06,592.4,50.12,1184.8,iphone,0.896,1,2.16,15.17,
toshima2-3,15,folded_half,32.85,25.99,637.3,51.98,1274.6,iphone,0.928,1,2.62,18.94,
toshima2-3,16,folded_half,30.06,24.89,584.3,49.78,1168.6,iphone,0.922,1,3.37,18.68,
toshima3-6,1,folded_half,24.72,22.01,457.2,44.02,914.4,iphone,0.928,1,3.06,15.01,
toshima3-6,2,folded_half,27.43,19.9,432.4,39.8,864.8,iphone,0.91,1,2.36,15.73,
toshima3-6,3,folded_half,21.0,16.68,291.9,33.36,583.8,iphone,0.93,1,8.2,12.75,
toshima3-6,4,folded_half,24.72,17.53,351.0,35.06,702.0,iphone,0.917,1,22.0,14.55,
toshima3-6,5,opened_full,26.92,41.57,729.9,41.57,729.9,iphone,0.892,0,0.0,17.9,
toshima3-6,6,folded_half,19.13,15.58,243.6,31.16,487.2,iphone,0.926,0,0.0,14.52,
toshima3-6,7,folded_half,32.26,26.42,676.8,52.84,1353.6,iphone,0.856,1,9.19,23.1,
toshima3-6,8,folded_half,32.43,25.91,612.7,51.82,1225.4,iphone,0.928,1,6.38,22.45,
toshima3-6,9,folded_half,35.73,26.16,760.6,52.32,1521.2,iphone,0.911,1,1.45,18.94,
toshima3-6,10,folded_half,31.07,23.45,538.9,46.9,1077.8,iphone,0.939,1,1.07,17.49,
toshima3-6,11,folded_half,31.33,27.18,701.9,54.36,1403.8,iphone,0.96,1,2.78,19.42,
toshima3-6,12,folded_half,34.46,26.08,760.1,52.16,1520.2,iphone,0.952,1,1.35,19.93,
toshima3-6,13,folded_half,31.07,19.56,515.3,39.12,1030.6,iphone,0.935,1,14.34,18.34,
toshima3-6,14,folded_half,26.84,18.46,419.3,36.92,838.6,iphone,0.94,1,13.08,18.44,
toshima3-6,15,folded_half,28.45,22.94,498.6,45.88,997.2,iphone,0.954,1,5.98,15.79,
toshima6-8,1,folded_half,26.67,21.51,445.6,43.02,891.2,iphone,0.892,1,32.12,18.05,
toshima6-8,2,folded_half,25.82,21.67,437.4,43.34,874.8,iphone,0.897,1,32.02,14.92,
toshima6-8,3,opened_full,26.92,38.61,747.3,38.61,747.3,iphone,0.946,1,10.01,20.2,
toshima6-8,4,folded_half,26.59,19.3,424.3,38.6,848.6,iphone,0.933,1,13.61,17.41,
toshima6-8,5,folded_half,28.11,23.11,524.2,46.22,1048.4,iphone,0.926,1,23.07,18.38,
toshima6-8,6,folded_half,32.51,24.72,679.8,49.44,1359.6,iphone,0.924,1,14.93,21.59,
toshima6-8,7,folded_half,28.96,24.21,577.7,48.42,1155.4,iphone,0.898,1,11.56,20.48,
toshima6-8,8,folded_half,23.71,21.0,404.6,42.0,809.2,iphone,0.889,1,12.79,18.68,
toshima6-8,9,folded_half,32.34,26.08,671.5,52.16,1343.0,iphone,0.87,1,7.89,21.52,
toshima6-8,10,folded_half,31.16,34.04,766.7,68.08,1533.4,iphone,0.819,1,2.13,17.82,
toshima6-8,11,folded_half,32.68,29.13,721.2,58.26,1442.4,iphone,0.888,1,1.62,18.78,
toshima6-8,12a,folded_half,34.46,30.4,755.5,60.8,1511.0,hand,,1,9.62,16.78,split_from_merged_pair
toshima6-8,12b,folded_half,33.96,26.27,642.3,52.54,1284.6,hand,,1,0.27,21.33,split_from_merged_pair
toshima6-8,13,folded_half,32.51,26.08,714.8,52.16,1429.6,iphone,0.811,1,1.92,20.43,
toshima6-8,14,folded_half,35.98,26.92,826.0,53.84,1652.0,iphone,0.88,1,2.05,21.27,
toshima6-8,15,folded_half,28.87,22.18,487.4,44.36,974.8,iphone,0.875,0,0.17,16.64,
