date,island,no,lat,lon,id,collar,organ,status,sheet,sheet_corolla_id,fold_state,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,roi_source,match_iou,has_nectar_guide,guide_coverage_pct,organ_length_mm,qc_flag,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,lobe_incision_ratio,organ_corolla_ratio,organ_status_check
2026.7.5,oshima,9,34.68577,139.3975,1,49,49,p,oshima8-9,6,folded_half,33.78,23.28,672.2,46.56,1344.4,iphone,0.916,1,6.99,20.13,,35.64,46.4,0.73,1.31,3.13,0.09,0.6,
2026.7.5,oshima,9,34.68577,139.3975,2,52,52,p,oshima8-9,9,folded_half,42.5,26.5,922.9,53.0,1845.8,iphone,0.86,1,48.05,22.87,,32.17,52.15,0.8,1.65,6.18,0.15,0.54,
2026.7.5,oshima,9,34.68577,139.3975,2,55,55,s,oshima8-9,12,folded_half,42.16,28.28,974.8,56.56,1949.6,iphone,0.914,1,24.16,20.93,,36.41,56.22,0.75,1.55,3.81,0.09,0.5,
2026.7.5,oshima,9,34.68577,139.3975,3,56,56,s,oshima8-9,13,folded_half,43.86,29.46,1039.0,58.92,2078.0,iphone,0.931,1,21.82,22.78,,33.95,56.22,0.74,1.74,3.64,0.08,0.52,
2026.7.5,oshima,9,34.68577,139.3975,3,57,57,s,oshima8-9,14,folded_half,38.35,21.84,727.1,43.68,1454.2,iphone,0.923,1,18.15,21.71,,32.51,42.67,0.88,1.34,3.64,0.09,0.57,
2026.7.5,oshima,10,34.68464,139.43596,1,58,58,p,oshima10-13,1,folded_half,33.87,21.84,571.9,43.68,1143.8,iphone,0.931,1,27.29,20.54,,26.84,43.52,0.78,1.63,4.09,0.12,0.61,
2026.7.5,oshima,10,34.68464,139.43596,2,59,59,s,oshima10-13,2,folded_half,39.03,26.25,805.7,52.5,1611.4,iphone,0.921,1,19.88,21.17,,30.48,50.8,0.74,1.72,4.17,0.11,0.54,
2026.7.5,oshima,10,34.68464,139.43596,2,60,60,p,oshima10-13,3,folded_half,39.29,26.92,855.2,53.84,1710.4,iphone,0.949,1,11.35,23.16,,33.78,52.66,0.73,1.59,4.32,0.11,0.59,
2026.7.5,oshima,11,34.69635,139.44916,1,61,61,p,oshima10-13,4,folded_half,39.71,26.75,859.4,53.5,1718.8,iphone,0.949,1,39.8,23.46,,29.29,53.51,0.74,1.83,4.14,0.1,0.59,
2026.7.5,oshima,11,34.69635,139.44916,1,62,62,p,oshima10-13,5,folded_half,35.9,27.52,813.7,55.04,1627.4,iphone,0.962,1,43.19,21.85,,35.56,53.68,0.65,1.55,4.18,0.12,0.61,
2026.7.5,oshima,11,34.69635,139.44916,2,63,63,s,oshima10-13,6,folded_half,38.18,24.81,741.0,49.62,1482.0,iphone,0.898,1,33.17,22.87,,28.62,43.01,0.77,1.73,6.78,0.18,0.6,
2026.7.5,oshima,11,34.69635,139.44916,2,64,64,p,oshima10-13,7,folded_half,38.86,25.91,815.9,51.82,1631.8,iphone,0.854,1,29.14,21.17,,31.41,48.26,0.75,1.65,5.77,0.15,0.54,
2026.7.5,oshima,11,34.69635,139.44916,3,65,65,s,oshima10-13,8,folded_half,24.05,21.08,417.6,42.16,835.2,iphone,0.937,1,39.65,14.74,,28.45,41.32,0.57,1.48,2.88,0.12,0.61,
2026.7.5,oshima,11,34.69635,139.44916,3,66,66,p,oshima10-13,9,folded_half,23.71,21.0,393.1,42.0,786.2,iphone,0.92,1,31.36,13.82,,26.84,40.47,0.56,1.56,2.46,0.1,0.58,
2026.7.5,oshima,11,34.69635,139.44916,4,67,67,s,oshima10-13,10,folded_half,31.24,22.44,583.2,44.88,1166.4,iphone,0.915,1,44.31,18.51,,30.65,43.18,0.7,1.46,3.55,0.11,0.59,
2026.7.5,oshima,11,34.69635,139.44916,4,68,68,p,oshima10-13,11,folded_half,34.12,22.35,572.9,44.7,1145.8,iphone,0.849,1,55.67,21.21,,31.58,27.26,0.76,1.42,12.43,0.36,0.62,
2026.7.5,oshima,12,34.78322,139.41216,1,69,69,s,oshima10-13,12,folded_half,32.26,23.11,628.6,46.22,1257.2,iphone,0.943,1,25.11,27.59,,26.08,45.38,0.7,1.77,2.03,0.06,0.86,
2026.7.5,oshima,12,34.78322,139.41216,1,70,70,p,oshima10-13,13,folded_half,36.83,23.2,688.3,46.4,1376.6,iphone,0.945,1,18.47,25.77,,29.46,43.18,0.79,1.57,4.57,0.12,0.7,
2026.7.5,oshima,12,34.78322,139.41216,2,71,71,p,oshima10-13,14,folded_half,41.57,26.42,897.3,52.84,1794.6,iphone,0.932,1,36.15,22.11,,37.34,52.15,0.79,1.42,6.18,0.15,0.53,
2026.7.5,oshima,12,34.78322,139.41216,2,72,72,p,oshima10-13,15,folded_half,39.37,24.98,858.4,49.96,1716.8,iphone,0.944,1,44.85,23.84,,38.1,45.38,0.79,1.31,5.67,0.14,0.61,
2026.7.5,oshima,13,34.77117,139.35234,1,73,73,s,oshima10-13,16,folded_half,34.8,22.18,599.3,44.36,1198.6,iphone,0.901,1,1.96,20.67,,23.88,43.77,0.78,1.86,4.4,0.13,0.59,
2026.7.5,oshima,13,34.77117,139.35234,1,74,74,s,oshima10-13,17,folded_half,36.58,27.69,921.6,55.38,1843.2,iphone,0.923,0,0.6,22.53,,29.72,55.54,0.66,1.86,3.47,0.09,0.62,
2026.7.5,oshima,13,34.77117,139.35234,2,75,75,s,oshima10-13,18,folded_half,32.09,26.16,673.4,52.32,1346.8,iphone,0.924,1,7.42,23.12,,31.83,48.43,0.61,1.64,4.33,0.13,0.72,
2026.7.5,oshima,13,34.77117,139.35234,3,79,79,p,oshima13-15,4,folded_half,29.46,26.16,628.8,52.32,1257.6,iphone,0.929,1,0.41,24.14,,29.8,51.65,0.56,1.76,1.02,0.03,0.82,
2026.7.5,oshima,13,34.77117,139.35234,3,76,76,s,oshima13-15,1,folded_half,32.0,23.88,584.7,47.76,1169.4,iphone,0.911,1,7.3,20.35,,23.71,46.74,0.67,2.01,2.12,0.07,0.64,
2026.7.5,oshima,13,34.77117,139.35234,4,77,77,p,oshima13-15,2,folded_half,40.64,30.73,902.9,61.46,1805.8,iphone,0.873,1,1.05,26.36,,28.7,59.61,0.66,2.14,5.73,0.14,0.65,
2026.7.5,oshima,13,34.77117,139.35234,4,78,78,s,oshima13-15,3,folded_half,33.87,26.08,702.5,52.16,1405.0,iphone,0.901,1,6.9,19.57,,30.56,47.58,0.65,1.71,4.44,0.13,0.58,
2026.7.5,oshima,14,34.7697,139.35234,1,80,80,s,oshima13-15,5,folded_half,37.42,28.7,878.4,57.4,1756.8,iphone,0.964,1,38.24,22.16,,31.67,56.9,0.65,1.81,2.2,0.06,0.59,
2026.7.5,oshima,14,34.7697,139.35234,2,81,81,s,oshima13-15,6,folded_half,43.26,31.41,1056.8,62.82,2113.6,iphone,0.904,1,22.77,28.7,,31.5,61.81,0.69,1.99,4.66,0.11,0.66,
2026.7.5,oshima,14,34.7697,139.35234,2,82,82,s,oshima13-15,7,folded_half,37.34,26.25,803.5,52.5,1607.0,iphone,0.932,1,20.0,26.08,,31.07,52.32,0.71,1.69,3.84,0.1,0.7,
