island,no,id,lat,n_flowers,frac_female,corolla_length_mm,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,organ_length_mm,organ_corolla_ratio,guide_coverage_pct,guide_basal_frac,guide_midline_ratio
oshima,13,4,34.7712,2,0.5,37.255,56.81,1605.4,29.63,53.595,0.655,1.925,5.085,22.965,0.615,10.99,0.271,1.1105
oshima,14,1,34.7697,1,0.0,37.42,57.4,1756.8,31.67,56.9,0.65,1.81,2.2,22.16,0.59,51.49,0.186,1.092
oshima,14,2,34.7697,2,0.0,40.3,57.66,1860.3,31.285,57.065,0.7,1.84,4.25,27.39,0.68,36.155,0.2795,1.224
oshima,14,3,34.7697,2,0.0,42.035,60.79,2128.3,36.15,59.605,0.69,1.68,5.07,28.27,0.675,42.115,0.312,1.1095
oshima,15,1,34.7653,2,1.0,48.3,58.68,2180.1,34.415,56.175,0.825,1.705,6.73,25.5,0.53,10.69,0.48,1.4655
oshima,15,2,34.7653,2,0.5,43.305,60.45,2091.9,31.92,59.395,0.72,1.895,5.655,25.975,0.6,12.985,0.41,1.283
toshima,1,1,34.5312,2,0.0,26.16,33.95,771.5,26.2,32.255,0.77,1.32,3.31,15.885,0.61,13.15,0.231,1.3715
toshima,1,2,34.5312,2,0.5,28.91,37.59,883.1,27.6,36.915,0.77,1.36,4.165,18.81,0.65,4.54,0.421,1.7115
toshima,1,3,34.5312,1,1.0,25.4,32.52,667.8,22.35,32.0,0.78,1.45,2.88,16.3,0.64,5.22,0.378,1.659
toshima,1,4,34.5312,1,0.0,28.36,41.32,959.2,26.42,39.96,0.69,1.56,3.3,16.9,0.6,5.12,0.649,1.628
toshima,1,5,34.5312,1,1.0,31.75,46.22,1075.2,31.16,42.59,0.69,1.48,4.74,18.42,0.58,12.99,0.624,1.659
toshima,1,6,34.5312,1,0.0,24.21,37.94,754.0,28.53,35.14,0.64,1.33,3.3,17.27,0.71,20.33,0.511,1.057
toshima,1,7,34.5312,2,0.0,31.325,46.99,1238.4,31.665,44.785,0.675,1.495,4.535,18.295,0.585,14.22,0.354,1.491
toshima,1,8,34.5312,1,0.0,32.43,46.4,1235.6,28.62,45.64,0.7,1.62,5.06,18.92,0.58,5.24,0.204,0.881
toshima,2,1,34.5316,1,0.0,26.84,37.6,785.4,24.13,36.91,0.71,1.56,3.73,18.17,0.68,4.63,0.35,1.111
toshima,2,2,34.5316,2,0.0,28.87,45.38,988.1,24.89,44.45,0.635,1.825,5.12,16.425,0.57,2.035,0.865,1.848
toshima,2,4,34.5316,2,1.0,29.335,52.75,1189.2,26.88,52.07,0.555,1.965,3.415,19.16,0.65,0.995,0.7705,1.6425
toshima,2,3,34.5316,1,0.0,28.19,53.0,1151.2,32.77,52.15,0.53,1.62,5.25,13.33,0.47,0.45,0.237,0.772
toshima,2,5,34.5316,1,1.0,29.04,45.72,1122.8,30.14,44.53,0.64,1.52,3.3,18.28,0.63,7.7,0.599,1.728
toshima,2,6,34.5316,2,1.0,32.13,46.82,1191.7,27.645,46.82,0.685,1.695,5.765,19.12,0.595,1.165,0.502,1.773
toshima,2,7,34.5316,2,0.5,20.615,33.87,545.1,22.145,32.51,0.61,1.545,3.865,12.585,0.61,7.505,0.595,1.3445
toshima,2,8,34.5316,2,0.0,33.74,44.87,1271.1,30.395,43.775,0.75,1.48,5.005,20.375,0.605,25.305,0.396,1.197
toshima,2,9,34.5316,2,0.5,35.345,47.49,1299.0,29.72,41.74,0.745,1.6,6.67,19.45,0.55,15.29,0.1845,1.4825
toshima,2,10,34.5316,2,0.0,27.895,44.12,930.5,23.835,43.095,0.635,1.87,4.43,17.65,0.635,3.415,0.473,1.3855
toshima,2,11,34.5316,1,1.0,28.36,48.26,1047.4,29.8,45.21,0.59,1.62,5.67,18.31,0.65,1.03,0.053,1.418
toshima,3,1,34.5314,2,1.0,29.38,49.19,1093.9,26.2,48.09,0.595,1.875,5.215,15.905,0.54,3.16,0.4005,1.4045
toshima,3,2,34.5314,2,0.5,31.455,50.88,1221.6,29.925,49.615,0.615,1.705,5.425,18.81,0.6,2.995,0.3905,1.86
toshima,3,3,34.5314,2,1.0,26.075,41.91,889.6,27.175,37.805,0.625,1.55,4.78,15.37,0.59,2.71,0.425,1.8945
toshima,3,4,34.5314,2,0.5,22.86,34.21,642.9,25.105,32.805,0.67,1.36,3.53,13.65,0.6,15.1,0.2425,1.546
toshima,3,5,34.5314,2,0.0,23.025,36.365,608.55,21.93,30.12,0.63,1.65,5.96,16.21,0.71,0.0,,
toshima,4,1,34.5158,2,0.0,32.345,52.33,1289.5,27.94,50.42,0.62,1.87,4.445,22.775,0.705,7.785,0.4825,1.7905
toshima,5,1,34.5317,2,0.5,33.4,49.61,1299.5,30.48,48.26,0.67,1.67,4.92,18.215,0.545,1.26,0.5615,1.4705
toshima,5,2,34.5317,2,0.5,32.895,53.26,1462.0,35.645,52.625,0.62,1.495,2.47,19.675,0.6,2.065,0.6485,1.706
toshima,6,1,34.5317,2,0.5,28.955,38.02,934.6,28.195,36.49,0.76,1.35,3.405,18.39,0.64,13.71,0.5005,1.365
toshima,6,2,34.5317,1,1.0,28.45,45.88,997.2,29.46,44.87,0.62,1.56,5.5,15.79,0.56,5.98,0.282,1.28
toshima,6,3,34.5317,2,0.5,26.245,43.18,883.0,26.37,42.165,0.61,1.64,4.775,16.485,0.63,32.07,0.3035,1.313
toshima,6,4,34.5317,2,0.5,26.755,38.605,797.95,26.25,34.055,0.695,1.485,6.225,18.805,0.7,11.81,0.542,1.5045
toshima,7,1,34.5251,2,0.5,30.31,47.83,1204.0,29.08,46.48,0.635,1.65,4.19,19.985,0.655,19.0,0.631,1.324
toshima,7,2,34.5251,2,0.5,26.335,45.21,982.3,25.74,43.18,0.58,1.77,3.38,19.58,0.75,12.175,0.7885,1.1605
toshima,8,1,34.5283,1,0.0,32.34,52.16,1343.0,30.56,50.88,0.62,1.71,5.18,21.52,0.67,7.89,0.391,1.12
toshima,8,2,34.5283,2,0.5,31.92,63.17,1487.9,32.555,59.945,0.51,1.935,6.35,18.3,0.57,1.875,0.5955,2.2305
toshima,8,3,34.5283,1,0.0,34.46,60.8,1511.0,38.27,59.94,0.57,1.59,7.45,16.78,0.49,9.62,0.469,1.926
toshima,8,4,34.5283,2,0.0,34.245,53.0,1540.8,28.15,51.14,0.645,1.89,3.725,20.85,0.61,1.985,0.5265,0.826
toshima,8,5,34.5283,2,0.5,31.415,48.45,1129.7,24.175,49.025,0.65,2.175,5.44,18.985,0.605,0.22,0.431,
niijima,1,1,34.3612,3,0.6667,32.7967,49.1667,1225.8667,35.14,46.5933,0.6667,1.4267,7.3133,17.7233,0.54,25.5,0.425,1.3147
niijima,2,1,34.4126,2,1.0,28.235,50.21,1119.8,25.615,49.105,0.565,1.965,4.74,16.77,0.595,0.435,0.1005,3.588
niijima,2,2,34.4126,2,0.5,30.525,51.14,1239.0,29.04,50.295,0.595,1.775,4.7,18.775,0.615,0.115,,
niijima,2,3,34.4126,2,1.0,26.8,46.65,957.4,23.24,46.395,0.575,2.005,2.795,16.965,0.635,0.055,,
niijima,2,4,34.4126,1,0.0,32.77,60.96,1489.6,30.31,61.47,0.54,2.01,6.33,19.95,0.61,42.85,0.31,1.482
niijima,2,5,34.4126,2,0.5,28.025,49.95,1101.8,29.38,48.26,0.565,1.705,4.71,15.865,0.565,20.3,0.622,2.121
niijima,2,6,34.4126,1,1.0,24.98,46.9,900.2,23.54,46.4,0.53,1.99,4.06,15.97,0.64,21.18,0.47,1.645
niijima,2,7,34.4126,2,0.0,27.895,45.81,979.6,26.46,45.845,0.61,1.735,4.615,17.11,0.615,46.495,0.366,1.396
niijima,2,8,34.4126,2,0.0,28.405,48.385,1138.85,29.25,38.565,0.585,1.66,6.61,16.415,0.585,34.54,0.4145,1.454
niijima,2,9,34.4126,1,1.0,29.04,51.3,1131.8,29.38,51.05,0.57,1.75,4.91,18.51,0.64,44.14,0.36,1.302
niijima,2,10,34.4126,2,1.0,30.65,46.99,1100.0,24.43,46.95,0.655,1.985,5.88,17.96,0.59,45.03,0.371,1.318
niijima,2,11,34.4126,2,1.0,38.95,65.03,1856.5,34.29,64.645,0.6,1.9,6.655,18.55,0.475,6.035,0.1815,1.301
niijima,2,12,34.4126,1,1.0,31.24,59.26,1353.6,31.07,58.08,0.53,1.91,4.91,17.94,0.57,10.51,0.588,1.78
niijima,2,13,34.4126,2,0.5,33.68,55.22,1414.1,29.805,53.725,0.61,1.855,5.375,19.025,0.565,22.25,0.4025,1.8445
niijima,2,14,34.4126,2,0.5,31.92,58.58,1465.5,35.135,58.335,0.545,1.675,4.445,18.69,0.59,11.37,0.531,1.425
niijima,2,15,34.4126,2,1.0,31.325,53.68,1258.7,27.43,53.17,0.58,1.97,6.17,17.355,0.555,13.54,0.5115,1.0045
niijima,2,16,34.4126,2,0.0,28.61,50.94,1164.1,30.395,49.91,0.56,1.68,3.005,15.08,0.53,16.58,0.3845,1.203
niijima,2,17,34.4126,1,0.0,28.87,45.88,986.0,25.4,45.04,0.63,1.81,4.4,16.74,0.58,5.74,0.089,1.614
niijima,2,18,34.4126,2,0.0,27.685,49.36,1020.6,25.91,48.6,0.56,1.905,5.04,16.64,0.6,4.305,0.2805,1.9025
niijima,2,19,34.4126,1,0.0,25.15,40.8,870.2,25.74,40.56,0.62,1.59,3.22,8.15,0.32,4.96,0.444,1.555
niijima,2,20,34.4126,2,0.0,25.065,37.08,727.2,23.285,36.155,0.68,1.59,4.29,13.085,0.52,0.635,0.008,2.154
niijima,3,1,34.3848,2,1.0,26.07,44.17,880.9,25.315,41.445,0.595,1.75,3.22,16.15,0.62,1.1,0.079,1.7845
niijima,4,1,34.3733,2,0.0,24.635,40.81,856.9,25.445,36.28,0.605,1.63,3.555,15.435,0.63,17.69,0.3015,1.1875
shikine,1,1,34.333,1,,19.84,32.55,402.6,19.47,16.51,0.61,1.67,6.64,,,0.06,,
shikine,1,2,34.333,1,1.0,26.84,41.14,763.8,28.96,39.62,0.65,1.42,5.68,15.98,0.6,0.13,,
shikine,1,3,34.333,2,1.0,23.34,40.01,660.95,25.785,38.69,0.585,1.56,3.765,13.86,0.6,0.155,,
shikine,1,4,34.333,1,1.0,26.5,40.13,730.1,24.47,33.27,0.66,1.64,6.01,16.78,0.63,0.03,,
shikine,1,5,34.333,1,1.0,43.1,55.71,1304.7,32.85,45.47,0.77,1.7,10.06,17.98,0.42,12.96,0.361,1.408
kozu,1,1,34.2087,2,1.0,21.845,28.87,479.55,19.685,28.065,0.755,1.47,4.105,14.285,0.655,8.55,0.159,1.5115
kozu,1,2,34.2087,1,0.0,16.93,25.65,330.5,15.92,24.47,0.66,1.61,2.71,10.64,0.63,22.69,0.245,1.127
kozu,1,3,34.2087,2,0.5,20.11,30.1,456.3,20.575,28.62,0.665,1.465,4.555,12.77,0.64,8.055,0.1105,1.549
kozu,1,4,34.2087,1,0.0,15.83,23.11,289.9,18.12,20.66,0.68,1.28,3.22,11.63,0.73,3.91,0.22,1.423
kozu,1,5,34.2087,1,0.0,21.42,30.56,506.9,21.38,29.72,0.7,1.43,3.98,12.87,0.6,13.95,0.387,1.748
kozu,1,6,34.2087,2,0.5,22.18,29.55,493.8,21.295,29.255,0.745,1.39,3.775,14.78,0.675,3.19,0.2655,1.3675
kozu,1,7,34.2087,1,0.0,18.97,27.86,411.4,18.2,26.84,0.68,1.53,3.22,12.72,0.67,8.77,0.246,1.048
kozu,2,1,34.2233,2,1.0,26.165,41.7,788.45,25.21,29.125,0.625,1.66,7.34,16.76,0.64,2.54,0.2505,1.257
kozu,2,2,34.2233,1,1.0,22.78,43.18,718.0,25.36,26.12,0.53,1.7,6.94,13.09,0.57,0.03,,
kozu,2,3,34.2233,2,0.5,29.04,43.305,899.4,30.565,29.38,0.665,1.415,8.215,16.735,0.58,3.93,0.3825,1.3715
kozu,2,4,34.2233,1,1.0,32.43,49.7,1092.3,28.96,35.64,0.65,1.72,9.25,17.33,0.53,2.01,0.345,1.023
kozu,2,5,34.2233,3,0.3333,26.81,42.87,876.8,27.05,36.11,0.6267,1.6,6.6567,15.2333,0.57,5.2267,0.0857,1.2367
