sheet,corolla_id,iphone_file,match_iou,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,fold_state
oshima5,2,HEIF画像 2.heic,0.891,31.83,23.96,635.4,47.92,1270.7,folded_half
oshima5,3,HEIF画像 3.heic,0.943,31.07,22.35,562.2,44.7,1124.5,folded_half
oshima5,4,HEIF画像 4.heic,0.927,33.44,27.01,766.8,54.02,1533.6,folded_half
oshima5,5,HEIF画像 5.heic,0.942,32.6,28.7,754.5,57.4,1508.9,folded_half
oshima6,1,HEIF画像.heic,0.934,34.88,27.26,726.6,54.53,1453.1,folded_half
oshima6,2,HEIF画像 4.heic,0.91,31.33,23.11,587.0,46.23,1174.0,folded_half
oshima6,3,HEIF画像 3.heic,0.939,33.61,25.57,665.9,51.14,1331.8,folded_half
oshima6,4,HEIF画像 2.heic,0.921,31.41,24.13,631.0,48.26,1262.0,folded_half
oshima6,5,HEIF画像 5.heic,0.911,30.23,21.84,533.0,43.69,1065.9,folded_half
oshima6,6,HEIF画像 6.heic,0.918,29.38,24.3,556.5,48.6,1113.0,folded_half
oshima7,1,HEIF画像 2.heic,0.931,27.35,24.64,535.6,49.28,1071.3,folded_half
oshima7,2,HEIF画像.heic,0.923,28.53,23.62,536.2,47.24,1072.5,folded_half
oshima7,3,HEIF画像 4.heic,0.921,26.75,24.72,531.1,49.45,1062.2,folded_half
oshima7,4,HEIF画像 5.heic,0.843,27.6,25.48,560.9,50.97,1121.9,folded_half
oshima7,5,HEIF画像 3.heic,0.774,27.6,26.92,559.6,53.85,1119.2,folded_half
oshima7,6,HEIF画像 6.heic,0.923,32.43,25.57,689.3,51.14,1378.6,folded_half
oshima8,1,167.JPG,0.934,28.45,20.57,472.6,41.15,945.2,folded_half
oshima8,2,166.JPG,0.938,32.85,25.4,721.3,50.8,1442.5,folded_half
oshima8,3,168.JPG,0.91,35.9,24.38,689.6,48.77,1379.2,folded_half
oshima8,4,169.JPG,0.959,29.97,21.59,594.5,43.18,1188.9,folded_half
oshima8,5,170.JPG,0.938,39.37,27.94,916.5,55.88,1833.0,folded_half
oshima8,6,171.JPG,0.884,36.07,23.62,724.2,47.24,1448.5,folded_half
oshima8,7,172.JPG,0.904,36.37,28.7,755.6,57.39,1511.2,folded_half
oshima8,8,173.JPG,0.941,40.13,28.28,912.5,56.56,1824.9,folded_half
oshima8-9,1,163.JPG,0.896,30.31,19.9,540.9,39.79,1081.8,folded_half
oshima8-9,2,152.JPG,0.934,33.61,21.51,569.7,43.01,1139.3,folded_half
oshima8-9,3,160.JPG,0.912,32.09,22.52,614.3,45.04,1228.7,folded_half
oshima8-9,4,154.JPG,0.937,33.78,28.28,759.5,56.56,1519.0,folded_half
oshima8-9,5,155.JPG,0.933,28.79,20.57,458.0,41.15,916.0,folded_half
oshima8-9,6,161.JPG,0.916,33.78,23.28,672.2,46.57,1344.4,folded_half
oshima8-9,7,151.JPG,0.799,31.75,22.94,657.9,45.89,1315.8,folded_half
oshima8-9,8,157.JPG,0.927,30.56,25.15,588.5,50.29,1177.1,folded_half
oshima8-9,9,156.JPG,0.86,42.5,26.5,922.9,53.0,1845.8,folded_half
oshima8-9,10,158.JPG,0.913,34.21,29.21,787.9,58.42,1575.8,folded_half
oshima8-9,11,159.JPG,0.933,33.44,26.67,718.5,53.34,1437.0,folded_half
oshima8-9,12,162.JPG,0.914,42.16,28.28,974.8,56.56,1949.6,folded_half
oshima8-9,13,164.JPG,0.931,43.86,29.46,1039.0,58.93,2078.0,folded_half
oshima8-9,14,165.JPG,0.923,38.35,21.84,727.1,43.69,1454.1,folded_half
shikine1,2,115.JPG,0.833,26.84,20.57,381.9,41.15,763.8,folded_half
shikine1,3,116.JPG,0.92,23.71,19.56,363.5,39.12,726.9,folded_half
shikine1,4,117.JPG,0.683,22.97,40.9,594.9,40.9,594.9,opened_full
shikine1,5,119.JPG,0.609,26.5,40.13,730.1,40.13,730.1,opened_full
