sheet,corolla_id,fold_state,corolla_length_mm,corolla_width_fulleq_mm,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,lobe_incision_ratio,organ_corolla_ratio
oshima1(2),1,folded_half,35.48,50.8,28.45,49.78,0.7,1.79,5.08,0.14,0.64
oshima1(2),2,folded_half,35.64,53.5,28.96,51.48,0.67,1.85,5.53,0.16,0.73
oshima1(2),3,folded_half,47.16,65.36,36.75,64.09,0.72,1.78,8.64,0.18,0.62
oshima1(2),4,folded_half,40.3,62.48,34.12,59.44,0.65,1.83,6.88,0.17,0.72
oshima1(2),5,folded_half,37.93,59.26,33.7,56.56,0.64,1.76,4.32,0.11,0.55
oshima10-13,1,folded_half,33.87,43.68,26.84,43.52,0.78,1.63,4.09,0.12,0.61
oshima10-13,2,folded_half,39.03,52.5,30.48,50.8,0.74,1.72,4.17,0.11,0.54
oshima10-13,3,folded_half,39.29,53.84,33.78,52.66,0.73,1.59,4.32,0.11,0.59
oshima10-13,4,folded_half,39.71,53.5,29.29,53.51,0.74,1.83,4.14,0.1,0.59
oshima10-13,5,folded_half,35.9,55.04,35.56,53.68,0.65,1.55,4.18,0.12,0.61
oshima10-13,6,folded_half,38.18,49.62,28.62,43.01,0.77,1.73,6.78,0.18,0.6
oshima10-13,7,folded_half,38.86,51.82,31.41,48.26,0.75,1.65,5.77,0.15,0.54
oshima10-13,8,folded_half,24.05,42.16,28.45,41.32,0.57,1.48,2.88,0.12,0.61
oshima10-13,9,folded_half,23.71,42.0,26.84,40.47,0.56,1.56,2.46,0.1,0.58
oshima10-13,10,folded_half,31.24,44.88,30.65,43.18,0.7,1.46,3.55,0.11,0.59
oshima10-13,11,folded_half,34.12,44.7,31.58,27.26,0.76,1.42,12.43,0.36,0.62
oshima10-13,12,folded_half,32.26,46.22,26.08,45.38,0.7,1.77,2.03,0.06,0.86
oshima10-13,13,folded_half,36.83,46.4,29.46,43.18,0.79,1.57,4.57,0.12,0.7
oshima10-13,14,folded_half,41.57,52.84,37.34,52.15,0.79,1.42,6.18,0.15,0.53
oshima10-13,15,folded_half,39.37,49.96,38.1,45.38,0.79,1.31,5.67,0.14,0.61
oshima10-13,16,folded_half,34.8,44.36,23.88,43.77,0.78,1.86,4.4,0.13,0.59
oshima10-13,17,folded_half,36.58,55.38,29.72,55.54,0.66,1.86,3.47,0.09,0.62
oshima10-13,18,folded_half,32.09,52.32,31.83,48.43,0.61,1.64,4.33,0.13,0.72
oshima13-15,1,folded_half,32.0,47.76,23.71,46.74,0.67,2.01,2.12,0.07,0.64
oshima13-15,2,folded_half,40.64,61.46,28.7,59.61,0.66,2.14,5.73,0.14,0.65
oshima13-15,3,folded_half,33.87,52.16,30.56,47.58,0.65,1.71,4.44,0.13,0.58
oshima13-15,4,folded_half,29.46,52.32,29.8,51.65,0.56,1.76,1.02,0.03,0.82
oshima13-15,5,folded_half,37.42,57.4,31.67,56.9,0.65,1.81,2.2,0.06,0.59
oshima13-15,6,folded_half,43.26,62.82,31.5,61.81,0.69,1.99,4.66,0.11,0.66
oshima13-15,7,folded_half,37.34,52.5,31.07,52.32,0.71,1.69,3.84,0.1,0.7
