sheet,corolla_id,island,n_guide_px,basal_frac_prox_third,rand_basal_frac,mean_along_length_pos,midline_ratio_all,midline_ratio_distal,distal_midline_p
niijiama1-2,17,Niijima,58375,0.444,0.331,0.388,1.33,1.564,1.98e-140
niijiama2-4,1,Niijima,2936,0.444,0.288,0.402,1.237,1.555,6.39e-39
niijiama2-4,2,Niijima,489,0.008,0.264,0.728,2.154,2.154,2.53e-52
niijiama2-4,4,Niijima,243,0.0,0.276,0.784,1.9,1.964,1.46e-13
niijiama2-4,5,Niijima,1177,0.158,0.253,0.691,1.494,1.605,5.95e-11
niijiama2-4,6,Niijima,10912,0.343,0.319,0.466,1.098,1.097,1.45e-12
niijiama2-4,7,Niijima,9399,0.26,0.267,0.541,1.279,1.278,6.65e-35
niijima2,1,Niijima,35094,0.36,0.271,0.447,1.228,1.302,6.63e-58
niijima2,2,Niijima,37552,0.353,0.295,0.42,1.174,1.237,1.02e-58
niijima2,3,Niijima,30134,0.389,0.248,0.403,1.247,1.399,8.38e-122
niijima2,4,Niijima,7293,0.144,0.252,0.539,1.567,1.351,3.83e-91
niijima2,5,Niijima,9958,0.588,0.282,0.399,1.476,1.78,3.63e-53
niijima2,6a,Niijima,8370,0.219,0.281,0.485,0.997,1.251,3.54e-54
niijima2,6b,Niijima,28627,0.445,0.256,0.455,1.384,1.625,1.06e-120
niijima2,7,Niijima,16262,0.36,0.249,0.435,1.527,2.064,8.81e-215
niijima2,8,Niijima,360,0.6,0.267,0.301,0.605,,1.00e+00
niijima2,9a,Niijima,21993,0.462,0.282,0.442,1.273,1.425,1.20e-58
niijima2,9b,Niijima,19317,0.326,0.262,0.478,1.323,1.606,5.73e-116
niijima2,10,Niijima,14837,0.422,0.269,0.387,0.987,1.022,2.73e-08
niijima2,11,Niijima,8605,0.601,0.265,0.297,1.199,0.987,5.65e-04
niijima2,12,Niijima,8229,0.443,0.268,0.426,1.023,0.8,1.00e+00
niijima2,13,Niijima,3964,0.089,0.276,0.574,1.321,1.614,4.49e-121
niijima2,14,Niijima,4895,0.31,0.267,0.5,1.703,2.149,3.37e-143
niijima2,15,Niijima,1432,0.251,0.268,0.56,1.481,1.656,5.14e-34
oshima1,1,Oshima,28378,0.907,0.268,0.215,1.201,2.313,6.15e-38
oshima1,2,Oshima,27072,0.783,0.277,0.246,1.217,1.449,4.63e-39
oshima1,3,Oshima,22065,0.958,0.251,0.171,1.118,1.956,1.47e-16
oshima1,4,Oshima,30226,0.834,0.276,0.234,1.093,1.087,5.53e-13
oshima1(2),1,Oshima,4860,0.983,0.252,0.178,1.424,,
oshima1(2),2,Oshima,4088,0.989,0.253,0.181,1.31,,
oshima1(2),3,Oshima,66976,0.467,0.275,0.355,1.036,0.963,6.58e-19
oshima1(2),4,Oshima,10606,0.943,0.245,0.172,1.335,0.779,1.00e+00
oshima1(2),5,Oshima,25811,0.644,0.266,0.299,1.196,1.645,4.50e-26
oshima10-13,1,Oshima,36000,0.312,0.276,0.452,1.198,1.25,5.99e-51
oshima10-13,2,Oshima,46943,0.339,0.251,0.473,1.272,1.427,8.91e-107
oshima10-13,3,Oshima,31167,0.305,0.289,0.487,1.417,1.599,1.66e-124
oshima10-13,4,Oshima,70728,0.281,0.25,0.501,1.202,1.21,4.20e-48
oshima10-13,5,Oshima,76224,0.332,0.289,0.467,1.091,1.098,3.27e-11
oshima10-13,6,Oshima,43279,0.264,0.3,0.509,1.169,1.114,2.23e-18
oshima10-13,7,Oshima,48685,0.272,0.27,0.499,1.285,1.264,3.54e-51
oshima10-13,8,Oshima,37081,0.303,0.287,0.491,1.081,1.125,2.91e-24
oshima10-13,9,Oshima,28125,0.293,0.276,0.52,1.181,1.232,1.46e-32
oshima10-13,10,Oshima,50888,0.306,0.298,0.492,1.102,1.119,5.46e-12
oshima10-13,11,Oshima,59523,0.306,0.318,0.471,1.174,1.176,9.02e-32
oshima10-13,12,Oshima,37480,0.34,0.25,0.454,1.254,1.32,8.65e-75
oshima10-13,13,Oshima,33025,0.428,0.294,0.388,1.293,1.57,9.18e-60
oshima10-13,14,Oshima,72436,0.247,0.298,0.478,1.164,1.183,2.13e-37
oshima10-13,15,Oshima,77773,0.271,0.304,0.469,1.087,1.1,7.24e-10
oshima10-13,16,Oshima,5277,0.581,0.257,0.32,1.388,2.182,9.35e-105
oshima10-13,17,Oshima,378,0.868,0.261,0.195,0.772,,
oshima10-13,18,Oshima,13674,0.31,0.263,0.444,1.196,1.013,2.19e-10
oshima13-15,1,Oshima,16445,0.226,0.25,0.498,1.356,1.614,4.96e-207
oshima13-15,2,Oshima,7206,0.225,0.229,0.532,0.988,1.029,2.74e-02
oshima13-15,3,Oshima,16060,0.317,0.268,0.434,1.14,1.192,3.32e-17
oshima13-15,4,Oshima,3428,0.333,0.237,0.495,1.292,1.138,8.56e-09
oshima13-15,5,Oshima,63231,0.186,0.247,0.575,1.055,1.092,7.57e-06
oshima13-15,6,Oshima,57344,0.298,0.257,0.502,1.18,1.21,1.92e-38
oshima13-15,7,Oshima,38427,0.261,0.275,0.51,1.152,1.238,5.56e-33
oshima13-15,8,Oshima,61052,0.271,0.259,0.481,1.12,1.081,1.10e-16
oshima13-15,9,Oshima,61532,0.353,0.286,0.466,1.102,1.138,1.71e-17
oshima13-15,10,Oshima,12651,0.422,0.289,0.427,1.239,1.439,3.35e-21
oshima13-15,11,Oshima,20538,0.538,0.272,0.38,1.303,1.492,1.43e-79
oshima13-15,12,Oshima,13192,0.516,0.255,0.409,1.334,1.476,2.67e-74
oshima13-15,13,Oshima,24454,0.304,0.247,0.484,1.071,1.09,8.85e-07
oshima4,1,Oshima,23181,0.415,0.267,0.366,1.219,1.376,8.69e-39
oshima4,2,Oshima,28119,0.566,0.273,0.361,0.991,0.915,1.00e+00
oshima4,3,Oshima,51579,0.245,0.279,0.47,1.185,1.202,3.60e-60
oshima4,4,Oshima,17660,0.442,0.253,0.363,1.145,0.853,1.00e+00
oshima4,5,Oshima,96586,0.228,0.254,0.517,1.128,1.19,8.37e-47
oshima4,6,Oshima,33048,0.204,0.288,0.542,1.164,1.201,1.37e-30
oshima4,7,Oshima,75200,0.227,0.257,0.504,1.202,1.254,1.30e-70
oshima4,8a,Oshima,21047,0.61,0.307,0.302,1.171,1.392,1.70e-58
oshima4,8b,Oshima,14502,0.547,0.209,0.335,1.41,2.944,3.99e-212
oshima5,1,Oshima,4724,0.756,0.256,0.275,1.31,1.195,3.39e-13
oshima5,3,Oshima,11842,0.422,0.272,0.425,1.318,1.32,2.78e-20
oshima5,4,Oshima,6401,0.625,0.309,0.306,1.082,1.474,3.53e-50
oshima5,5,Oshima,6224,0.739,0.265,0.263,1.401,1.7,2.55e-74
oshima6,1,Oshima,21045,0.506,0.242,0.34,1.236,1.265,2.82e-75
oshima6,2,Oshima,17524,0.671,0.276,0.29,1.209,1.65,3.41e-48
oshima6,3,Oshima,5552,0.988,0.252,0.207,1.291,1.351,5.03e-03
oshima6,4,Oshima,11611,0.834,0.276,0.228,1.255,2.474,5.70e-59
oshima6,5,Oshima,18400,0.608,0.285,0.312,1.281,1.807,7.26e-148
oshima6,6,Oshima,6990,0.826,0.262,0.249,1.35,2.326,5.24e-50
oshima7,1,Oshima,20758,0.596,0.275,0.322,1.28,1.761,4.13e-117
oshima7,2,Oshima,6027,0.789,0.31,0.255,1.526,2.139,5.02e-78
oshima7,3,Oshima,5144,0.683,0.253,0.319,1.347,0.981,6.17e-01
oshima7,4,Oshima,18231,0.686,0.247,0.282,1.17,1.809,4.37e-31
oshima7,5,Oshima,68155,0.235,0.251,0.525,1.116,1.104,4.31e-15
oshima7,6,Oshima,79917,0.265,0.283,0.503,1.104,1.137,2.76e-18
oshima8,1,Oshima,28316,0.43,0.292,0.433,1.368,1.573,1.68e-151
oshima8,2,Oshima,46307,0.307,0.295,0.468,1.254,1.339,9.76e-65
oshima8,3,Oshima,70404,0.293,0.274,0.464,1.164,1.267,2.31e-61
oshima8,4,Oshima,11303,0.237,0.275,0.58,0.724,0.711,1.00e+00
oshima8,5,Oshima,19168,0.42,0.293,0.363,1.099,1.095,7.11e-03
oshima8,6,Oshima,30476,0.439,0.289,0.385,1.114,1.098,2.66e-15
oshima8,7,Oshima,8004,0.149,0.258,0.588,0.601,0.675,1.00e+00
oshima8,8,Oshima,93571,0.238,0.288,0.507,1.169,1.165,4.60e-34
oshima8-9,1,Oshima,23758,0.408,0.283,0.374,1.157,1.344,3.44e-24
oshima8-9,2,Oshima,37089,0.381,0.295,0.421,1.091,1.12,1.31e-11
oshima8-9,3,Oshima,9085,0.674,0.304,0.295,1.311,1.463,2.34e-26
oshima8-9,4,Oshima,49285,0.332,0.249,0.423,1.224,1.433,2.29e-67
oshima8-9,5,Oshima,37117,0.41,0.295,0.397,1.161,1.151,1.59e-35
oshima8-9,6,Oshima,11081,0.835,0.301,0.198,1.324,1.212,6.33e-09
oshima8-9,7,Oshima,16783,0.478,0.28,0.398,1.546,2.202,2.70e-217
oshima8-9,8,Oshima,19075,0.395,0.282,0.44,1.25,1.412,3.34e-80
oshima8-9,9,Oshima,80232,0.334,0.27,0.448,1.151,1.22,1.75e-41
oshima8-9,10,Oshima,19853,0.604,0.283,0.331,1.109,1.215,3.23e-35
oshima8-9,11,Oshima,14174,0.711,0.3,0.274,1.211,1.794,2.40e-90
oshima8-9,12,Oshima,48781,0.371,0.281,0.426,1.168,1.23,7.44e-47
oshima8-9,13,Oshima,49219,0.549,0.26,0.325,1.234,1.263,1.09e-20
oshima8-9,14,Oshima,30013,0.602,0.314,0.303,1.222,1.088,6.82e-03
shikine1,6,Shikinejima,29542,0.361,0.292,0.487,1.305,1.408,1.30e-27
toshima1-2,1,Toshima,8475,0.242,0.326,0.528,1.241,1.276,2.77e-35
toshima1-2,2,Toshima,5538,0.22,0.291,0.545,1.28,1.467,7.23e-71
toshima1-2,3,Toshima,1780,0.481,0.294,0.397,1.293,1.429,1.14e-08
toshima1-2,4,Toshima,3770,0.361,0.328,0.459,1.506,1.994,3.60e-102
toshima1-2,5,Toshima,2336,0.378,0.29,0.529,1.296,1.659,9.33e-34
toshima1-2,6,Toshima,3435,0.649,0.265,0.389,1.212,1.628,1.73e-04
toshima1-2,7,Toshima,9771,0.624,0.313,0.325,1.144,1.659,1.49e-50
toshima1-2,8,Toshima,10788,0.511,0.317,0.403,1.135,1.057,9.99e-01
toshima1-2,9,Toshima,11000,0.316,0.258,0.487,1.28,1.384,5.43e-57
toshima1-2,10,Toshima,12471,0.392,0.303,0.468,1.44,1.598,2.10e-55
toshima1-2,11,Toshima,4319,0.204,0.281,0.539,0.88,0.881,1.00e+00
toshima1-2,12,Toshima,2554,0.35,0.279,0.519,1.151,1.111,2.88e-01
toshima1-2,13,Toshima,1242,0.874,0.272,0.263,2.062,0.841,3.94e-01
toshima1-2,14,Toshima,1302,0.856,0.262,0.277,1.411,2.855,6.08e-22
toshima1-2,15,Toshima,407,0.781,0.225,0.323,3.487,1.245,9.91e-01
toshima1-2,16,Toshima,1175,0.76,0.279,0.203,1.035,2.04,4.22e-03
toshima1-2,17,Toshima,350,0.237,0.291,0.544,1.84,0.772,1.00e+00
toshima2-3,1,Toshima,5844,0.599,0.278,0.332,1.391,1.728,7.79e-45
toshima2-3,3,Toshima,1419,0.502,0.276,0.445,1.554,1.773,1.33e-45
toshima2-3,4,Toshima,1142,0.812,0.314,0.279,1.125,1.589,1.80e-08
toshima2-3,5,Toshima,4216,0.378,0.275,0.484,1.182,1.1,3.34e-03
toshima2-3,6,Toshima,25463,0.333,0.317,0.494,1.155,1.112,1.85e-08
toshima2-3,7,Toshima,18839,0.459,0.278,0.464,1.111,1.282,9.74e-27
toshima2-3,8,Toshima,13179,0.233,0.279,0.576,1.282,1.378,4.31e-34
toshima2-3,9,Toshima,14201,0.136,0.285,0.573,1.444,1.587,6.83e-110
toshima2-3,10,Toshima,1737,0.641,0.286,0.322,1.234,1.929,7.28e-11
toshima2-3,11,Toshima,2543,0.305,0.245,0.425,0.829,0.842,1.00e+00
toshima2-3,12,Toshima,731,0.053,0.301,0.613,1.454,1.418,3.34e-08
toshima2-3,13,Toshima,2914,0.318,0.258,0.492,1.242,1.418,4.30e-42
toshima2-3,14,Toshima,1732,0.483,0.274,0.373,1.199,1.391,1.09e-31
toshima2-3,15,Toshima,2332,0.407,0.287,0.454,1.273,1.797,1.35e-47
toshima2-3,16,Toshima,2681,0.374,0.266,0.495,1.548,1.923,2.58e-83
toshima3-6,1,Toshima,1900,0.255,0.298,0.51,1.664,1.823,1.54e-85
toshima3-6,2,Toshima,1431,0.595,0.269,0.367,1.237,1.966,3.94e-33
toshima3-6,3,Toshima,3364,0.213,0.312,0.553,1.556,1.59,1.68e-42
toshima3-6,4,Toshima,10850,0.272,0.295,0.576,1.366,1.502,4.89e-102
toshima3-6,7,Toshima,8742,0.588,0.274,0.358,1.406,1.965,1.44e-40
toshima3-6,8,Toshima,5487,0.377,0.251,0.435,1.289,1.616,1.47e-39
toshima3-6,9,Toshima,1549,0.589,0.291,0.371,1.167,1.436,2.51e-04
toshima3-6,10,Toshima,814,0.534,0.249,0.396,1.484,1.505,2.96e-01
toshima3-6,11,Toshima,2737,0.563,0.267,0.367,1.376,1.624,3.26e-13
toshima3-6,12,Toshima,1435,0.734,0.286,0.314,1.231,1.788,5.02e-16
toshima3-6,13,Toshima,10334,0.487,0.29,0.412,1.001,0.941,1.00e+00
toshima3-6,14,Toshima,7668,0.514,0.304,0.41,1.34,1.789,1.18e-38
toshima3-6,15,Toshima,4176,0.282,0.294,0.399,1.169,1.28,1.42e-36
toshima6-8,1,Toshima,20065,0.289,0.3,0.502,1.191,1.241,7.33e-15
toshima6-8,2,Toshima,19166,0.318,0.275,0.484,1.272,1.385,9.11e-72
toshima6-8,3,Toshima,10461,0.714,0.303,0.264,1.256,1.557,1.08e-13
toshima6-8,4,Toshima,8157,0.37,0.315,0.442,1.417,1.452,5.47e-70
toshima6-8,5,Toshima,16014,0.645,0.301,0.305,1.209,1.108,3.34e-09
toshima6-8,6,Toshima,13444,0.617,0.263,0.341,1.256,1.54,1.87e-58
toshima6-8,7,Toshima,8999,0.82,0.282,0.242,1.232,1.326,1.50e-05
toshima6-8,8,Toshima,7002,0.757,0.268,0.274,1.454,0.995,1.00e+00
toshima6-8,9,Toshima,7137,0.391,0.28,0.4,1.095,1.12,1.24e-25
toshima6-8,10,Toshima,2310,0.635,0.257,0.334,1.585,1.961,3.05e-57
toshima6-8,11,Toshima,1575,0.556,0.271,0.396,1.375,2.5,7.60e-61
toshima6-8,12a,Toshima,10138,0.469,0.29,0.354,1.275,1.926,3.94e-161
toshima6-8,12b,Toshima,239,0.431,0.278,0.328,1.83,,
toshima6-8,13,Toshima,1623,0.586,0.249,0.329,1.092,0.734,9.69e-01
toshima6-8,14,Toshima,2249,0.467,0.233,0.366,0.911,0.918,1.77e-05
