island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Niijima,niijima2,1,,309.0,1025.0,0.0215,0.1655,oxidized_recovered,0.0,5.667,6.0,,,
Niijima,niijima2,1,,293.0,1025.5,0.0143,0.1351,oxidized_recovered,0.0,13.0,13.0,,,
Niijima,niijima2,1,,249.1,1026.0,0.0717,0.3021,oxidized_recovered,0.0,-11.2,-12.0,,,
Niijima,niijima2,1,,192.92,1026.12,0.1864,0.4871,oxidized_recovered,0.0,-10.846,-12.0,,,
Niijima,niijima2,1,,208.04,1026.25,0.172,0.468,oxidized_recovered,0.0,-20.333,-20.0,,,
Niijima,niijima2,1,,230.62,1027.25,0.0573,0.2702,oxidized_recovered,0.0,-9.25,-7.5,,,
Niijima,niijima2,1,,280.86,1027.86,0.0502,0.2528,oxidized_recovered,0.0,6.857,8.0,,,
Niijima,niijima2,1,,222.25,1028.0,0.0287,0.1911,oxidized_recovered,0.0,-9.75,-9.5,,,
Niijima,niijima2,1,,263.0,1028.0,0.0287,0.1911,oxidized_recovered,0.0,-3.5,-4.0,,,
Niijima,niijima2,1,,303.5,1028.0,0.0143,0.1351,oxidized_recovered,0.0,5.5,5.5,,,
Niijima,niijima2,1,,253.88,1029.75,0.0573,0.2702,oxidized_recovered,0.0,1.75,1.0,,,
Niijima,niijima2,1,,228.75,1030.75,0.0287,0.1911,oxidized_recovered,0.0,4.5,4.0,,,
Niijima,niijima2,1,,241.0,1031.0,0.0215,0.1655,oxidized_recovered,0.0,2.667,3.0,,,
Niijima,niijima2,1,,260.94,1031.31,0.1147,0.3821,oxidized_recovered,0.0,3.875,3.0,,,
Niijima,niijima2,1,,283.67,1031.67,0.0215,0.1655,oxidized_recovered,0.0,2.0,3.0,,,
Niijima,niijima2,1,,205.6,1031.7,0.0717,0.3021,oxidized_recovered,0.0,-12.2,-12.0,,,
Niijima,niijima2,1,,272.0,1033.0,0.0215,0.1655,oxidized_recovered,0.0,8.0,8.0,,,
Niijima,niijima2,1,,307.02,1034.27,0.3441,0.6619,oxidized_recovered,0.0,1.292,1.0,,,
Niijima,niijima2,1,,275.0,1034.5,0.0143,0.1351,oxidized_recovered,0.0,10.5,10.5,,,
Niijima,niijima2,1,,265.5,1035.0,0.0143,0.1351,oxidized_recovered,0.0,2.5,2.5,,,
Niijima,niijima2,1,,301.6,1035.2,0.0358,0.2136,oxidized_recovered,0.0,3.6,3.0,,,
Niijima,niijima2,1,,271.75,1036.5,0.0287,0.1911,oxidized_recovered,0.0,5.0,5.0,,,
Niijima,niijima2,1,,207.9,1037.02,0.3513,0.6688,oxidized_recovered,0.0,-4.653,-5.0,,,
Niijima,niijima2,1,,199.5,1039.0,0.0143,0.1351,oxidized_recovered,0.0,6.5,6.5,,,
Niijima,niijima2,1,,266.0,1039.5,0.0143,0.1351,oxidized_recovered,0.0,5.5,5.5,,,
